campagne_id,nom_campagne,type_campagne,date_debut,cible,budget_fcfa,groupe_test,date_fin,taux_conversion,nb_envois
29,Camp_029,WhatsApp,2022-11-30,Tous,100000,B,2022-12-03,0.142,2974
30,Camp_030,Push App,2023-10-29,Nouveaux,500000,A,2023-11-04,0.0796,8493
31,Camp_031,Email,2022-02-19,Tous,50000,A,2022-03-06,0.1165,12136
32,Camp_032,Email,2023-11-02,Tous,50000,B,2023-11-11,0.1965,16945
33,Camp_033,Push App,2022-05-26,Nouveaux,100000,A,2022-06-03,0.0877,1926
34,Camp_034,SMS,2022-04-03,Fidèles,50000,A,2022-04-18,0.1274,7568
35,Camp_035,Email,2023-07-11,Tous,50000,A,2023-07-25,0.1985,942
36,Camp_036,Email,2024-02-11,Tous,100000,A,2024-02-18,0.0694,724
37,Camp_037,Réseaux sociaux,2022-10-15,Inactifs,500000,B,2022-10-27,0.2278,7603
38,Camp_038,WhatsApp,2022-08-11,Fidèles,50000,A,2022-08-29,0.096,9724
39,Camp_039,SMS,2022-10-17,Tous,50000,A,2022-10-22,0.1079,10793
40,Camp_040,Email,2023-04-20,Tous,50000,A,2023-04-28,0.0912,14093
41,Camp_041,Réseaux sociaux,2024-01-01,Nouveaux,500000,B,2024-01-17,0.0975,13906
42,Camp_042,SMS,2022-10-11,Nouveaux,500000,A,2022-10-28,0.0786,11477
43,Camp_043,Push App,2022-04-04,Nouveaux,50000,A,2022-04-22,0.107,1868
44,Camp_044,Réseaux sociaux,2022-04-25,Nouveaux,100000,B,2022-05-15,0.1182,18853
45,Camp_045,Email,2022-09-11,Fidèles,100000,B,2022-09-24,0.1651,2155
46,Camp_046,Réseaux sociaux,2024-04-18,Fidèles,500000,B,2024-04-24,0.1131,1309
47,Camp_047,Push App,2024-05-17,Tous,100000,A,2024-06-03,0.1258,18747
48,Camp_048,WhatsApp,2023-12-19,Tous,50000,A,2023-12-30,0.1119,9105
49,Camp_049,WhatsApp,2022-11-05,VIP,1000000,A,2022-11-23,0.0948,1761
50,Camp_050,Email,2024-04-26,Tous,100000,A,2024-05-01,0.1258,12493
51,Camp_051,WhatsApp,2024-03-06,Nouveaux,100000,A,2024-03-14,0.0898,19808
52,Camp_052,SMS,2023-04-25,Tous,500000,A,2023-04-30,0.1284,2390
53,Camp_053,SMS,2023-10-04,Fidèles,100000,A,2023-10-21,0.1098,8679
54,Camp_054,WhatsApp,2022-10-22,VIP,250000,B,2022-10-26,0.1448,15523
55,Camp_055,SMS,2024-09-02,VIP,50000,B,2024-09-06,0.1414,12998
56,Camp_056,WhatsApp,2024-01-05,Tous,100000,A,2024-01-21,0.086,10369
57,Camp_057,Push App,2024-09-09,Tous,100000,B,2024-09-17,0.1341,19303
58,Camp_058,Email,2023-01-17,VIP,250000,B,2023-01-24,0.2108,9472
59,Camp_059,Email,2022-08-02,Nouveaux,250000,B,2022-08-05,0.1843,18231
60,Camp_060,SMS,2024-01-02,Inactifs,50000,A,2024-01-11,0.0671,4265
61,Camp_061,SMS,2023-06-16,Inactifs,50000,A,2023-07-02,0.0782,12411
62,Camp_062,WhatsApp,2022-05-25,Fidèles,1000000,B,2022-06-04,0.1419,18284
63,Camp_063,SMS,2023-03-23,Nouveaux,500000,A,2023-04-11,0.1072,14146
64,Camp_064,WhatsApp,2023-01-08,Tous,50000,B,2023-01-20,0.1477,13751
65,Camp_065,Réseaux sociaux,2024-01-31,Tous,50000,B,2024-02-16,0.1055,11909
66,Camp_066,Email,2024-06-16,Fidèles,50000,A,2024-06-25,0.1028,4225
67,Camp_067,Push App,2022-01-23,Inactifs,250000,B,2022-01-31,0.1854,5440
68,Camp_068,SMS,2022-10-06,Fidèles,50000,B,2022-10-24,0.1644,12611
69,Camp_069,SMS,2023-05-06,Fidèles,250000,B,2023-05-25,0.1614,9510
70,Camp_070,WhatsApp,2022-08-06,Fidèles,50000,B,2022-08-20,0.1317,17653
71,Camp_071,Email,2022-10-21,Tous,50000,B,2022-11-09,0.141,14885
72,Camp_072,SMS,2023-02-16,Fidèles,50000,B,2023-02-21,0.091,12588
73,Camp_073,Email,2022-07-08,Nouveaux,100000,B,2022-07-13,0.1252,16152
74,Camp_074,WhatsApp,2023-02-26,Fidèles,250000,A,2023-03-04,0.1288,4827
75,Camp_075,Email,2023-01-02,Inactifs,500000,B,2023-01-16,0.1193,13930
76,Camp_076,Email,2022-05-17,Tous,100000,A,2022-05-27,0.1272,18360
77,Camp_077,Email,2024-01-15,Nouveaux,100000,B,2024-01-29,0.1183,7813
78,Camp_078,Push App,2023-05-08,Inactifs,250000,A,2023-05-19,0.1193,7873
79,Camp_079,WhatsApp,2023-07-01,Nouveaux,1000000,B,2023-07-12,0.1345,14086
80,Camp_080,Push App,2022-09-27,Inactifs,50000,B,2022-10-08,0.1536,3604
81,Camp_081,WhatsApp,2023-03-29,Inactifs,100000,A,2023-04-09,0.1512,3166
82,Camp_082,Email,2024-11-21,Tous,250000,B,2024-12-08,0.1739,12452
83,Camp_083,WhatsApp,2023-06-02,Fidèles,1000000,A,2023-06-17,0.1201,13683
84,Camp_084,SMS,2023-04-16,Nouveaux,500000,A,2023-04-25,0.1507,16689
85,Camp_085,Réseaux sociaux,2024-04-30,Fidèles,100000,B,2024-05-10,0.1383,17363
86,Camp_086,Email,2022-10-02,Fidèles,50000,A,2022-10-19,0.1154,4483
87,Camp_087,Email,2023-01-11,VIP,50000,B,2023-01-20,0.1974,7578
88,Camp_088,Push App,2022-02-24,Tous,50000,B,2022-02-28,0.1493,821
89,Camp_089,SMS,2022-10-27,VIP,50000,A,2022-11-01,0.1512,15390
90,Camp_090,SMS,2024-05-11,Inactifs,50000,A,2024-05-15,0.1481,17146
91,Camp_091,WhatsApp,2022-03-29,Tous,50000,B,2022-04-09,0.1263,15222
92,Camp_092,Email,2023-04-20,Fidèles,100000,A,2023-05-08,0.0864,3525
93,Camp_093,SMS,2022-01-29,Inactifs,250000,A,2022-02-10,0.114,10990
94,Camp_094,Push App,2022-09-06,Fidèles,500000,A,2022-09-16,0.1331,11369
95,Camp_095,WhatsApp,2022-12-28,Nouveaux,100000,A,2023-01-12,0.1165,2126
96,Camp_096,Réseaux sociaux,2022-09-03,Fidèles,250000,A,2022-09-07,0.1222,543
97,Camp_097,Push App,2024-08-13,VIP,500000,A,2024-08-19,0.2188,17993
98,Camp_098,Email,2024-02-05,Fidèles,100000,B,2024-02-10,0.1403,3807
99,Camp_099,Push App,2022-01-19,Fidèles,250000,A,2022-01-24,0.1228,9775
100,Camp_100,WhatsApp,2023-08-26,Fidèles,250000,A,2023-09-01,0.0987,7249
101,Camp_101,Email,2022-05-28,Fidèles,50000,A,2022-06-07,0.0967,8533
102,Camp_102,Email,2023-04-02,VIP,500000,B,2023-04-15,0.2252,19250
103,Camp_103,Push App,2022-05-24,Nouveaux,100000,B,2022-06-05,0.1353,13951
104,Camp_104,Push App,2022-05-15,Tous,50000,B,2022-05-28,0.1344,8803
105,Camp_105,Email,2023-05-07,Nouveaux,50000,A,2023-05-14,0.1245,3396
106,Camp_106,WhatsApp,2022-04-12,Tous,1000000,B,2022-04-21,0.1136,16406
107,Camp_107,SMS,2024-06-25,Tous,50000,B,2024-06-30,0.1727,12001
108,Camp_108,Email,2023-01-26,VIP,500000,A,2023-01-31,0.0995,16574
109,Camp_109,Email,2022-07-07,Tous,500000,B,2022-07-11,0.2174,3779
110,Camp_110,Email,2022-04-20,VIP,1000000,A,2022-04-23,0.1367,12130
111,Camp_111,SMS,2023-04-22,Tous,250000,A,2023-04-26,0.1047,2862
112,Camp_112,Email,2022-01-08,Tous,50000,B,2022-01-27,0.1317,18930
113,Camp_113,WhatsApp,2023-05-25,Fidèles,50000,B,2023-05-31,0.1317,13030
114,Camp_114,Push App,2024-04-24,Inactifs,50000,A,2024-05-04,0.1224,18990
115,Camp_115,SMS,2024-05-30,VIP,250000,A,2024-06-10,0.0974,8174
116,Camp_116,WhatsApp,2022-06-30,Inactifs,500000,B,2022-07-13,0.1346,1275
117,Camp_117,Push App,2024-11-10,Tous,500000,A,2024-11-28,0.1245,9238
118,Camp_118,Push App,2024-04-13,Inactifs,50000,A,2024-04-28,0.0759,9899
119,Camp_119,SMS,2023-01-10,Fidèles,100000,B,2023-01-23,0.1266,1989
120,Camp_120,WhatsApp,2022-12-03,Tous,50000,A,2022-12-13,0.0922,14270
121,Camp_121,SMS,2022-09-12,Fidèles,100000,B,2022-09-29,0.179,4145
122,Camp_122,Email,2023-05-20,Tous,100000,B,2023-05-28,0.1337,13054
123,Camp_123,Email,2024-10-19,Fidèles,100000,A,2024-10-22,0.1119,6059
124,Camp_124,Email,2024-04-29,Fidèles,500000,B,2024-05-11,0.1559,7863
125,Camp_125,Email,2023-06-13,Tous,2000000,B,2023-06-29,0.1201,3620
126,Camp_126,Réseaux sociaux,2023-10-05,Tous,100000,A,2023-10-22,0.1193,3783
127,Camp_127,Réseaux sociaux,2024-08-15,VIP,100000,B,2024-08-18,0.1379,11174
128,Camp_128,Push App,2023-05-09,Nouveaux,500000,B,2023-05-29,0.1082,17643
129,Camp_129,Push App,2023-09-01,Fidèles,50000,A,2023-09-13,0.1235,5928
130,Camp_130,Réseaux sociaux,2022-10-27,Inactifs,500000,B,2022-11-05,0.1521,3292
131,Camp_131,Email,2024-09-08,Fidèles,50000,B,2024-09-13,0.1713,6903
132,Camp_132,WhatsApp,2022-03-03,Inactifs,50000,B,2022-03-15,0.1638,12760
133,Camp_133,SMS,2024-04-12,Nouveaux,500000,B,2024-04-27,0.139,12197
134,Camp_134,Email,2024-02-26,Tous,50000,A,2024-03-09,0.087,3194
135,Camp_135,Email,2023-05-23,Inactifs,100000,A,2023-06-03,0.115,6788
136,Camp_136,Push App,2024-05-23,Fidèles,100000,B,2024-06-07,0.1373,15351
137,Camp_137,WhatsApp,2023-02-26,Nouveaux,50000,B,2023-03-06,0.1511,6455
138,Camp_138,WhatsApp,2022-10-18,Nouveaux,100000,A,2022-11-04,0.0936,19964
139,Camp_139,Push App,2022-12-19,Fidèles,250000,B,2022-12-26,0.1154,8258
140,Camp_140,Email,2022-11-01,Inactifs,250000,B,2022-11-09,0.1406,16640
141,Camp_141,Réseaux sociaux,2023-08-25,Tous,50000,B,2023-09-03,0.1276,2682
142,Camp_142,SMS,2024-05-28,Tous,100000,A,2024-06-13,0.1622,3176
143,Camp_143,SMS,2022-10-28,Tous,250000,B,2022-11-09,0.1338,4433
144,Camp_144,Réseaux sociaux,2022-01-15,Fidèles,50000,A,2022-01-25,0.1209,18088
145,Camp_145,Email,2022-08-04,Tous,500000,B,2022-08-23,0.1455,4043
146,Camp_146,Push App,2022-02-12,Nouveaux,100000,A,2022-02-17,0.0888,3590
147,Camp_147,Email,2024-08-06,Fidèles,250000,B,2024-08-24,0.1766,1199
148,Camp_148,WhatsApp,2024-06-16,Fidèles,50000,A,2024-06-26,0.1168,19406
149,Camp_149,WhatsApp,2022-04-20,Tous,1000000,A,2022-04-24,0.0971,17492
150,Camp_150,SMS,2023-02-09,Fidèles,100000,B,2023-02-25,0.1315,1992
151,Camp_151,WhatsApp,2022-12-26,Inactifs,500000,A,2022-12-31,0.1197,9847
152,Camp_152,Réseaux sociaux,2023-02-03,Nouveaux,50000,A,2023-02-15,0.08,6076
153,Camp_153,SMS,2023-01-22,Tous,500000,B,2023-01-31,0.1041,780
154,Camp_154,Email,2022-12-25,Nouveaux,100000,A,2023-01-05,0.1318,673
155,Camp_155,SMS,2023-08-16,Inactifs,100000,A,2023-08-25,0.1512,7182
156,Camp_156,Email,2022-10-27,Nouveaux,250000,B,2022-10-30,0.0971,8563
157,Camp_157,WhatsApp,2024-01-09,Fidèles,100000,B,2024-01-23,0.1269,3049
158,Camp_158,WhatsApp,2023-12-29,Nouveaux,1000000,A,2024-01-16,0.0701,14187
159,Camp_159,Email,2022-02-05,VIP,50000,B,2022-02-24,0.1976,17355
160,Camp_160,Push App,2022-05-08,Fidèles,50000,B,2022-05-20,0.1745,12116
161,Camp_161,WhatsApp,2024-05-10,Tous,50000,B,2024-05-14,0.1519,10463
162,Camp_162,SMS,2024-07-18,Inactifs,250000,A,2024-07-26,0.1412,16859
163,Camp_163,Email,2023-03-30,Nouveaux,100000,B,2023-04-02,0.1946,18393
164,Camp_164,Email,2024-11-24,Nouveaux,250000,B,2024-12-11,0.162,19144
165,Camp_165,SMS,2022-07-30,Fidèles,1000000,A,2022-08-06,0.1404,12068
166,Camp_166,Push App,2024-05-05,Fidèles,100000,B,2024-05-14,0.1879,9512
167,Camp_167,Email,2022-05-09,Nouveaux,250000,A,2022-05-15,0.1224,19193
168,Camp_168,WhatsApp,2022-08-20,VIP,50000,A,2022-09-06,0.1182,6288
169,Camp_169,Email,2022-11-23,Fidèles,500000,A,2022-11-30,0.1074,6941
170,Camp_170,SMS,2024-03-14,Tous,50000,B,2024-03-17,0.2241,7363
171,Camp_171,Email,2022-01-19,Tous,1000000,A,2022-02-08,0.081,11894
172,Camp_172,Push App,2024-06-18,Tous,500000,A,2024-07-07,0.0809,12527
173,Camp_173,Email,2023-10-30,Tous,500000,A,2023-11-15,0.0905,9346
174,Camp_174,Push App,2022-05-02,Fidèles,50000,B,2022-05-11,0.1881,5950
175,Camp_175,Push App,2023-09-12,Tous,500000,A,2023-09-18,0.1812,14660
176,Camp_176,Réseaux sociaux,2023-10-14,Inactifs,250000,A,2023-10-29,0.1456,6767
177,Camp_177,SMS,2022-10-04,Tous,250000,A,2022-10-18,0.1276,2245
178,Camp_178,Email,2022-05-26,Fidèles,50000,A,2022-06-02,0.0748,11701
179,Camp_179,WhatsApp,2024-01-23,Inactifs,500000,A,2024-02-10,0.1363,11162
180,Camp_180,SMS,2023-11-25,Inactifs,500000,A,2023-12-02,0.1123,16944
181,Camp_181,Email,2024-09-20,Fidèles,250000,A,2024-09-30,0.066,1197
182,Camp_182,Email,2022-07-01,Nouveaux,50000,A,2022-07-10,0.0912,5705
183,Camp_183,Email,2024-11-15,Tous,50000,A,2024-11-21,0.1508,5321
184,Camp_184,WhatsApp,2022-04-27,VIP,250000,B,2022-05-03,0.1224,15335
185,Camp_185,Push App,2022-03-21,VIP,50000,B,2022-03-28,0.1495,19371
186,Camp_186,Email,2023-01-19,Fidèles,250000,B,2023-01-22,0.188,3851
187,Camp_187,SMS,2023-03-07,Tous,250000,B,2023-03-24,0.1202,18264
188,Camp_188,WhatsApp,2022-12-08,VIP,50000,B,2022-12-17,0.1518,4698
189,Camp_189,Push App,2024-03-31,Tous,100000,A,2024-04-04,0.1393,19324
190,Camp_190,Push App,2023-10-02,Tous,100000,A,2023-10-05,0.1194,16347
191,Camp_191,SMS,2023-09-07,Inactifs,100000,A,2023-09-20,0.1017,16332
192,Camp_192,Email,2023-07-13,VIP,50000,A,2023-07-18,0.1081,3717
193,Camp_193,Email,2024-07-10,Inactifs,50000,A,2024-07-27,0.0874,8660
194,Camp_194,WhatsApp,2024-05-04,Tous,250000,B,2024-05-19,0.1523,19020
195,Camp_195,SMS,2024-01-07,VIP,250000,A,2024-01-27,0.1351,8374
196,Camp_196,Email,2022-12-03,Nouveaux,100000,A,2022-12-17,0.0958,15297
197,Camp_197,Réseaux sociaux,2022-02-26,Tous,50000,B,2022-03-15,0.1071,19303
198,Camp_198,WhatsApp,2022-03-15,Tous,500000,B,2022-03-24,0.1768,9446
199,Camp_199,Push App,2024-06-25,Tous,50000,A,2024-07-05,0.1335,7243
200,Camp_200,SMS,2024-02-06,Tous,50000,B,2024-02-10,0.1052,15013
