client_id,genre,age,ville,canal_acquisition,segment_marketing,nb_achats,ca_total,panier_moyen,derniere_achat,recence_jours,frequence_mensuelle,churn
17,M,33,Abidjan,Mobile Money,Occasionnel,33,1008384.0,30557.090909090908,2024-12-02,29,0.9166666666666666,0
18,F,40,Abidjan,Boutique,Nouveau,26,707167.0,27198.73076923077,2024-10-25,67,0.7222222222222222,0
19,M,47,Korhogo,Site Web,Occasionnel,38,858427.0,22590.184210526317,2024-12-27,4,1.0555555555555556,0
20,M,37,Abidjan,Mobile Money,Régulier,34,768230.0,22595.0,2024-11-07,54,0.9444444444444444,0
21,M,29,Abidjan,Site Web,Nouveau,20,426818.0,21340.9,2024-10-13,79,0.5555555555555556,0
22,F,18,San-Pédro,Boutique,Nouveau,3,37402.0,12467.333333333334,2024-11-01,60,0.08333333333333333,1
23,M,34,Bouaké,Boutique,Occasionnel,31,775844.0,25027.225806451614,2024-10-31,61,0.8611111111111112,0
24,M,34,Abidjan,Boutique,Nouveau,2,77182.0,38591.0,2022-09-05,848,0.05555555555555555,1
25,M,36,Daloa,Mobile Money,Nouveau,23,688080.0,29916.521739130436,2024-09-22,100,0.6388888888888888,1
26,F,57,Yamoussoukro,Mobile Money,Occasionnel,27,1167058.0,43224.37037037037,2024-11-26,35,0.75,0
27,F,47,Abidjan,Site Web,Occasionnel,31,829617.0,26761.83870967742,2024-11-22,39,0.8611111111111112,0
28,F,42,Abidjan,Boutique,Régulier,3,103462.0,34487.333333333336,2023-05-21,590,0.08333333333333333,1
29,F,23,Abidjan,Boutique,Fidèle,44,1326727.0,30152.886363636364,2024-12-30,1,1.2222222222222223,0
30,M,28,San-Pédro,Partenaire,Occasionnel,1,42197.0,42197.0,2023-11-20,407,0.027777777777777776,1
31,M,32,Abidjan,Mobile Money,Occasionnel,29,1197788.0,41303.03448275862,2024-10-09,83,0.8055555555555556,0
32,M,25,Abidjan,Boutique,VIP,5,111647.0,22329.4,2023-02-24,676,0.1388888888888889,1
33,F,39,Abidjan,Boutique,Occasionnel,4,138421.0,34605.25,2023-05-03,608,0.1111111111111111,1
34,F,37,Man,Mobile Money,VIP,34,1056367.0,31069.617647058825,2024-12-30,1,0.9444444444444444,0
35,F,22,Abidjan,Partenaire,Régulier,34,1015350.0,29863.235294117647,2024-12-17,14,0.9444444444444444,0
36,F,47,Abidjan,Partenaire,Nouveau,27,1011015.0,37445.0,2024-12-01,30,0.75,0
37,F,35,Abidjan,Mobile Money,Nouveau,6,265400.0,44233.333333333336,2024-01-09,357,0.16666666666666666,1
38,F,18,Yamoussoukro,Partenaire,Nouveau,36,848316.0,23564.333333333332,2024-12-28,3,1.0,0
39,F,33,Abidjan,Mobile Money,Régulier,33,881449.0,26710.575757575756,2024-10-24,68,0.9166666666666666,0
40,M,37,Korhogo,Partenaire,Nouveau,4,137131.0,34282.75,2024-08-16,137,0.1111111111111111,1
41,F,44,Abidjan,Réseaux sociaux,Régulier,24,593049.0,24710.375,2024-12-20,11,0.6666666666666666,0
42,M,30,Abidjan,Mobile Money,Occasionnel,33,778217.0,23582.333333333332,2024-12-27,4,0.9166666666666666,0
43,M,43,Abidjan,Boutique,Fidèle,32,1069165.0,33411.40625,2024-12-10,21,0.8888888888888888,0
44,F,36,Abidjan,Site Web,Régulier,34,907553.0,26692.735294117647,2024-11-11,50,0.9444444444444444,0
45,M,19,Abidjan,Mobile Money,Nouveau,24,725855.0,30243.958333333332,2024-11-24,37,0.6666666666666666,1
46,M,18,Daloa,Boutique,Nouveau,29,864646.0,29815.379310344826,2024-12-07,24,0.8055555555555556,0
47,F,46,Abidjan,Site Web,Occasionnel,2,85852.0,42926.0,2023-12-26,371,0.05555555555555555,1
48,F,47,Daloa,Mobile Money,Régulier,26,720616.0,27716.0,2024-12-08,23,0.7222222222222222,1
49,M,37,Abidjan,Mobile Money,Régulier,5,204415.0,40883.0,2024-06-05,209,0.1388888888888889,1
50,F,50,Bouaké,Mobile Money,Occasionnel,36,839155.0,23309.86111111111,2024-12-14,17,1.0,0
51,F,45,Abidjan,Site Web,Régulier,5,267998.0,53599.6,2024-09-16,106,0.1388888888888889,1
52,F,41,Abidjan,Boutique,Occasionnel,45,1840715.0,40904.77777777778,2024-12-09,22,1.25,1
53,M,23,Abidjan,Boutique,Nouveau,28,890520.0,31804.285714285714,2024-12-26,5,0.7777777777777778,0
54,M,53,Divo,Mobile Money,Fidèle,4,102966.0,25741.5,2024-08-14,139,0.1111111111111111,1
55,M,39,Korhogo,Mobile Money,Occasionnel,20,755177.0,37758.85,2024-12-30,1,0.5555555555555556,0
56,M,29,San-Pédro,Site Web,Régulier,2,32686.0,16343.0,2024-06-15,199,0.05555555555555555,1
57,F,26,Korhogo,Mobile Money,Occasionnel,28,681516.0,24339.85714285714,2024-10-11,81,0.7777777777777778,0
58,M,36,Abidjan,Site Web,Occasionnel,32,908979.0,28405.59375,2024-12-25,6,0.8888888888888888,0
59,F,18,Abidjan,Boutique,Nouveau,31,767817.0,24768.290322580644,2024-12-29,2,0.8611111111111112,0
60,F,41,Abidjan,Site Web,Occasionnel,3,67617.0,22539.0,2024-11-10,51,0.08333333333333333,0
61,M,23,Korhogo,Boutique,Nouveau,32,1244066.0,38877.0625,2024-12-29,2,0.8888888888888888,0
62,F,38,Abidjan,Réseaux sociaux,Régulier,26,891802.0,34300.07692307692,2024-09-05,117,0.7222222222222222,1
63,M,28,Abidjan,Mobile Money,Nouveau,36,1083307.0,30091.86111111111,2024-12-13,18,1.0,1
64,M,31,Yamoussoukro,Réseaux sociaux,Nouveau,25,868144.0,34725.76,2024-11-03,58,0.6944444444444444,0
65,M,25,Abidjan,Mobile Money,Occasionnel,3,177684.0,59228.0,2024-04-14,261,0.08333333333333333,1
66,M,32,Daloa,Mobile Money,Occasionnel,2,27570.0,13785.0,2024-02-29,306,0.05555555555555555,1
67,M,54,Abidjan,Boutique,Occasionnel,24,500712.0,20863.0,2024-12-09,22,0.6666666666666666,0
68,F,49,Yamoussoukro,Mobile Money,Régulier,34,1085780.0,31934.70588235294,2024-12-16,15,0.9444444444444444,0
69,F,37,Korhogo,Boutique,Régulier,34,909067.0,26737.264705882353,2024-12-25,6,0.9444444444444444,0
70,F,33,Bouaké,Réseaux sociaux,Occasionnel,32,1045143.0,32660.71875,2024-12-24,7,0.8888888888888888,0
71,F,43,Abidjan,Site Web,Occasionnel,3,123474.0,41158.0,2024-12-08,23,0.08333333333333333,0
72,F,46,Abidjan,Site Web,Nouveau,30,1708242.0,56941.4,2024-11-08,53,0.8333333333333334,0
73,M,24,Abidjan,Partenaire,Occasionnel,24,902873.0,37619.708333333336,2024-09-05,117,0.6666666666666666,1
74,F,33,Abidjan,Boutique,Fidèle,28,1191217.0,42543.46428571428,2024-09-15,107,0.7777777777777778,1
75,F,18,Bouaké,Mobile Money,Occasionnel,1,9326.0,9326.0,2024-06-20,194,0.027777777777777776,1
76,F,46,Abidjan,Réseaux sociaux,Fidèle,38,1292714.0,34018.78947368421,2024-12-08,23,1.0555555555555556,0
77,F,56,Abidjan,Mobile Money,Nouveau,3,148900.0,49633.333333333336,2024-10-06,86,0.08333333333333333,0
78,M,34,Abidjan,Mobile Money,Régulier,35,966555.0,27615.85714285714,2024-09-12,110,0.9722222222222222,1
79,M,18,Divo,Mobile Money,Régulier,22,1045547.0,47524.86363636364,2024-11-27,34,0.6111111111111112,0
80,M,40,Abidjan,Mobile Money,Régulier,1,227874.0,227874.0,2022-10-11,812,0.027777777777777776,1
81,M,24,Abidjan,Mobile Money,Régulier,40,1553217.0,38830.425,2024-12-14,17,1.1111111111111112,0
82,F,26,Abidjan,Mobile Money,Nouveau,6,137349.0,22891.5,2024-11-18,43,0.16666666666666666,0
83,M,40,Abidjan,Boutique,Régulier,25,727260.0,29090.4,2024-10-17,75,0.6944444444444444,0
84,F,36,Man,Site Web,Occasionnel,1,9599.0,9599.0,2023-05-22,589,0.027777777777777776,1
85,F,28,Abidjan,Partenaire,Occasionnel,41,1393504.0,33987.90243902439,2024-12-11,20,1.1388888888888888,0
86,F,26,Yamoussoukro,Mobile Money,Nouveau,28,601526.0,21483.071428571428,2024-11-20,41,0.7777777777777778,0
87,M,35,Bouaké,Mobile Money,Nouveau,5,55510.0,11102.0,2024-08-05,148,0.1388888888888889,1
88,F,29,San-Pédro,Boutique,Fidèle,5,209792.0,41958.4,2024-07-04,180,0.1388888888888889,1
89,F,21,Yamoussoukro,Mobile Money,Nouveau,2,23073.0,11536.5,2024-10-05,87,0.05555555555555555,0
90,F,30,Daloa,Boutique,Occasionnel,41,977319.0,23837.048780487807,2024-12-18,13,1.1388888888888888,1
91,F,37,Abidjan,Site Web,Nouveau,21,582549.0,27740.428571428572,2024-12-15,16,0.5833333333333334,0
92,M,32,Abidjan,Site Web,Régulier,33,612621.0,18564.272727272728,2024-12-18,13,0.9166666666666666,0
93,F,18,Yamoussoukro,Mobile Money,Régulier,41,1024887.0,24997.243902439026,2024-12-05,26,1.1388888888888888,0
94,F,44,Bouaké,Site Web,Fidèle,30,774112.0,25803.733333333334,2024-12-26,5,0.8333333333333334,0
95,F,18,Abidjan,Site Web,Occasionnel,34,1399095.0,41149.85294117647,2024-12-11,20,0.9444444444444444,0
96,M,29,Abidjan,Réseaux sociaux,Nouveau,35,857854.0,24510.114285714284,2024-12-08,23,0.9722222222222222,0
97,F,27,Abidjan,Mobile Money,Nouveau,27,772500.0,28611.11111111111,2024-12-14,17,0.75,0
99,F,40,Abidjan,Site Web,Régulier,4,74691.0,18672.75,2024-10-26,66,0.1111111111111111,0
100,M,46,Abidjan,Mobile Money,VIP,31,1010026.0,32581.483870967742,2024-12-11,20,0.8611111111111112,0
101,M,26,Abidjan,Site Web,Nouveau,1,17872.0,17872.0,2024-09-18,104,0.027777777777777776,1
102,M,40,Bouaké,Site Web,Occasionnel,4,174120.0,43530.0,2024-03-17,289,0.1111111111111111,1
103,F,36,Yamoussoukro,Mobile Money,Régulier,28,941018.0,33607.78571428572,2024-12-24,7,0.7777777777777778,0
104,M,18,Bouaké,Boutique,Occasionnel,40,856214.0,21405.35,2024-11-09,52,1.1111111111111112,0
105,M,54,Yamoussoukro,Boutique,Régulier,4,178758.0,44689.5,2024-09-02,120,0.1111111111111111,1
106,M,18,Abidjan,Site Web,Occasionnel,18,577570.0,32087.222222222223,2024-12-04,27,0.5,0
107,F,38,Abidjan,Mobile Money,Nouveau,26,953945.0,36690.192307692305,2024-12-23,8,0.7222222222222222,0
108,F,38,Yamoussoukro,Boutique,Occasionnel,26,816724.0,31412.46153846154,2024-10-28,64,0.7222222222222222,0
109,F,37,San-Pédro,Mobile Money,Occasionnel,30,859697.0,28656.566666666666,2024-12-03,28,0.8333333333333334,1
110,M,28,Yamoussoukro,Site Web,Régulier,37,1122494.0,30337.675675675677,2024-11-05,56,1.0277777777777777,0
111,F,43,Yamoussoukro,Site Web,Nouveau,30,670190.0,22339.666666666668,2024-12-15,16,0.8333333333333334,0
112,F,18,Yamoussoukro,Boutique,Occasionnel,28,965945.0,34498.03571428572,2024-11-13,48,0.7777777777777778,0
113,F,33,Daloa,Boutique,VIP,3,96661.0,32220.333333333332,2023-08-09,510,0.08333333333333333,1
114,M,27,Yamoussoukro,Mobile Money,Occasionnel,31,635428.0,20497.677419354837,2024-11-09,52,0.8611111111111112,0
115,F,26,Daloa,Mobile Money,Nouveau,6,143420.0,23903.333333333332,2024-08-26,127,0.16666666666666666,1
116,M,38,Abidjan,Site Web,Fidèle,27,869276.0,32195.40740740741,2024-12-01,30,0.75,0
117,M,45,Abidjan,Mobile Money,Nouveau,2,32251.0,16125.5,2022-12-03,759,0.05555555555555555,1
118,M,30,Abidjan,Site Web,Régulier,32,1029507.0,32172.09375,2024-12-23,8,0.8888888888888888,0
119,F,42,Abidjan,Site Web,Nouveau,5,85826.0,17165.2,2023-06-20,560,0.1388888888888889,1
120,M,34,Daloa,Réseaux sociaux,Fidèle,5,91668.0,18333.6,2024-08-18,135,0.1388888888888889,1
121,M,24,Abidjan,Mobile Money,Nouveau,20,592882.0,29644.1,2024-10-24,68,0.5555555555555556,0
122,M,31,Abidjan,Boutique,Occasionnel,28,491065.0,17538.035714285714,2024-12-30,1,0.7777777777777778,0
123,F,30,Daloa,Mobile Money,VIP,1,4434.0,4434.0,2024-12-01,30,0.027777777777777776,1
124,F,26,Abidjan,Réseaux sociaux,Occasionnel,27,676867.0,25069.14814814815,2024-12-27,4,0.75,0
125,F,38,San-Pédro,Site Web,Nouveau,22,501834.0,22810.636363636364,2024-08-15,138,0.6111111111111112,1
126,F,36,Abidjan,Site Web,Nouveau,35,1218695.0,34819.857142857145,2024-12-06,25,0.9722222222222222,0
127,F,18,Abidjan,Site Web,Nouveau,1,41388.0,41388.0,2022-12-25,737,0.027777777777777776,1
128,F,18,Abidjan,Mobile Money,Nouveau,29,743180.0,25626.896551724138,2024-12-22,9,0.8055555555555556,0
129,F,38,Abidjan,Site Web,Occasionnel,24,670205.0,27925.208333333332,2024-10-23,69,0.6666666666666666,0
130,M,25,Abidjan,Réseaux sociaux,Occasionnel,31,856422.0,27626.516129032258,2024-12-30,1,0.8611111111111112,0
131,F,37,Abidjan,Mobile Money,Fidèle,43,1192958.0,27743.20930232558,2024-12-02,29,1.1944444444444444,1
132,M,42,Abidjan,Partenaire,Régulier,3,98397.0,32799.0,2024-05-14,231,0.08333333333333333,1
133,M,20,Abidjan,Réseaux sociaux,Fidèle,3,146316.0,48772.0,2024-05-08,237,0.08333333333333333,1
134,F,18,Daloa,Partenaire,Occasionnel,24,781595.0,32566.458333333332,2024-08-20,133,0.6666666666666666,1
135,M,52,Abidjan,Réseaux sociaux,Occasionnel,27,1030595.0,38170.18518518518,2024-11-09,52,0.75,0
136,F,37,Abidjan,Mobile Money,Occasionnel,22,741203.0,33691.045454545456,2024-12-27,4,0.6111111111111112,0
137,M,29,Abidjan,Boutique,Occasionnel,26,799249.0,30740.346153846152,2024-11-05,56,0.7222222222222222,0
138,F,23,Man,Mobile Money,Nouveau,3,123487.0,41162.333333333336,2024-12-16,15,0.08333333333333333,0
139,M,28,Daloa,Site Web,Fidèle,34,942286.0,27714.29411764706,2024-12-22,9,0.9444444444444444,0
140,F,20,Abengourou,Mobile Money,Régulier,38,1332101.0,35055.28947368421,2024-12-26,5,1.0555555555555556,0
141,F,43,Man,Réseaux sociaux,Nouveau,28,858272.0,30652.571428571428,2024-12-13,18,0.7777777777777778,0
142,F,25,Abidjan,Mobile Money,Occasionnel,26,536696.0,20642.153846153848,2024-12-28,3,0.7222222222222222,0
143,M,46,Yamoussoukro,Mobile Money,Nouveau,36,835344.0,23204.0,2024-11-17,44,1.0,0
144,M,29,Abidjan,Mobile Money,Occasionnel,29,760591.0,26227.275862068964,2024-12-07,24,0.8055555555555556,0
145,F,22,Korhogo,Site Web,Occasionnel,32,1443613.0,45112.90625,2024-12-28,3,0.8888888888888888,0
146,F,29,Abidjan,Mobile Money,Fidèle,2,108185.0,54092.5,2024-09-19,103,0.05555555555555555,1
147,F,18,Abidjan,Mobile Money,Occasionnel,26,774146.0,29774.846153846152,2024-12-18,13,0.7222222222222222,0
148,M,32,Man,Mobile Money,Occasionnel,4,86562.0,21640.5,2024-09-30,92,0.1111111111111111,1
149,F,32,San-Pédro,Mobile Money,Régulier,19,553566.0,29135.052631578947,2024-12-17,14,0.5277777777777778,0
150,F,43,Gagnoa,Partenaire,Fidèle,32,1012172.0,31630.375,2024-12-12,19,0.8888888888888888,0
151,M,18,Abidjan,Boutique,Régulier,4,141850.0,35462.5,2024-06-01,213,0.1111111111111111,1
152,M,46,Abidjan,Mobile Money,Occasionnel,4,161981.0,40495.25,2024-09-26,96,0.1111111111111111,1
153,F,43,Abidjan,Mobile Money,Occasionnel,28,1144472.0,40874.0,2024-12-14,17,0.7777777777777778,0
154,M,47,Abidjan,Mobile Money,Régulier,26,985050.0,37886.53846153846,2024-12-11,20,0.7222222222222222,0
155,F,33,Abidjan,Boutique,Régulier,24,814350.0,33931.25,2024-12-20,11,0.6666666666666666,0
156,M,45,Abidjan,Mobile Money,VIP,28,747091.0,26681.821428571428,2024-11-19,42,0.7777777777777778,0
157,F,18,Daloa,Mobile Money,Occasionnel,17,386532.0,22737.176470588234,2024-12-17,14,0.4722222222222222,0
158,M,41,Abidjan,Mobile Money,Régulier,19,740699.0,38984.15789473684,2024-09-30,92,0.5277777777777778,1
159,M,25,Yamoussoukro,Mobile Money,Nouveau,29,721573.0,24881.827586206895,2024-12-27,4,0.8055555555555556,0
160,M,18,San-Pédro,Site Web,Nouveau,26,731464.0,28133.23076923077,2024-12-18,13,0.7222222222222222,0
161,F,21,Bouaké,Mobile Money,Nouveau,25,563264.0,22530.56,2024-09-06,116,0.6944444444444444,1
162,M,34,Abidjan,Site Web,Nouveau,32,1497117.0,46784.90625,2024-12-19,12,0.8888888888888888,0
163,F,24,Abidjan,Site Web,Occasionnel,37,1170345.0,31630.945945945947,2024-12-16,15,1.0277777777777777,0
164,F,38,Abidjan,Réseaux sociaux,Occasionnel,7,137098.0,19585.428571428572,2024-08-24,129,0.19444444444444445,1
165,M,18,Daloa,Mobile Money,Régulier,4,103677.0,25919.25,2023-09-21,467,0.1111111111111111,1
166,F,18,Abidjan,Site Web,Régulier,30,1285601.0,42853.36666666667,2024-12-19,12,0.8333333333333334,0
167,M,49,Abidjan,Réseaux sociaux,Nouveau,24,459059.0,19127.458333333332,2024-12-18,13,0.6666666666666666,0
168,M,43,Abengourou,Partenaire,Régulier,1,33146.0,33146.0,2022-05-01,975,0.027777777777777776,1
169,F,22,Yamoussoukro,Réseaux sociaux,Nouveau,26,750812.0,28877.384615384617,2024-12-24,7,0.7222222222222222,0
170,M,33,San-Pédro,Mobile Money,Nouveau,28,785354.0,28048.35714285714,2024-11-12,49,0.7777777777777778,1
171,F,45,Abidjan,Partenaire,VIP,36,1155385.0,32094.027777777777,2024-12-23,8,1.0,0
172,F,38,Divo,Réseaux sociaux,Nouveau,27,755790.0,27992.222222222223,2024-11-22,39,0.75,0
173,F,35,Abidjan,Mobile Money,Nouveau,21,814170.0,38770.0,2024-12-26,5,0.5833333333333334,0
174,M,46,Abidjan,Mobile Money,Régulier,30,1111534.0,37051.13333333333,2024-12-04,27,0.8333333333333334,0
175,F,25,Korhogo,Partenaire,Occasionnel,33,1052507.0,31894.151515151516,2024-12-27,4,0.9166666666666666,0
176,F,34,Korhogo,Mobile Money,Occasionnel,36,1055891.0,29330.305555555555,2024-11-25,36,1.0,0
177,F,33,Abidjan,Site Web,Régulier,34,1252148.0,36827.882352941175,2024-09-09,113,0.9444444444444444,1
178,M,30,Abidjan,Boutique,Régulier,16,779869.0,48741.8125,2024-10-04,88,0.4444444444444444,0
179,M,29,Abidjan,Site Web,Occasionnel,2,81670.0,40835.0,2024-11-05,56,0.05555555555555555,1
180,M,34,Daloa,Mobile Money,Fidèle,32,1422596.0,44456.125,2024-12-15,16,0.8888888888888888,0
181,M,34,San-Pédro,Site Web,Nouveau,26,584283.0,22472.423076923078,2024-11-29,32,0.7222222222222222,0
182,M,22,Abidjan,Boutique,Occasionnel,37,1362165.0,36815.27027027027,2024-12-10,21,1.0277777777777777,0
183,F,42,Abidjan,Réseaux sociaux,Nouveau,37,1133155.0,30625.81081081081,2024-12-27,4,1.0277777777777777,0
184,F,23,Yamoussoukro,Mobile Money,Nouveau,1,15539.0,15539.0,2024-07-14,170,0.027777777777777776,1
185,M,31,Daloa,Mobile Money,VIP,3,101378.0,33792.666666666664,2024-12-04,27,0.08333333333333333,0
186,M,30,Abidjan,Mobile Money,Régulier,30,811137.0,27037.9,2024-11-16,45,0.8333333333333334,1
187,F,37,Bouaké,Mobile Money,Nouveau,28,638830.0,22815.35714285714,2024-12-30,1,0.7777777777777778,0
188,F,18,Abengourou,Partenaire,Occasionnel,35,1083046.0,30944.17142857143,2024-12-15,16,0.9722222222222222,0
189,M,43,Abidjan,Mobile Money,Nouveau,34,825113.0,24268.029411764706,2024-12-05,26,0.9444444444444444,0
190,F,26,Bouaké,Mobile Money,Régulier,22,480556.0,21843.454545454544,2024-07-13,171,0.6111111111111112,1
191,M,47,Bouaké,Réseaux sociaux,Occasionnel,23,1019857.0,44341.608695652176,2024-10-31,61,0.6388888888888888,0
192,F,28,Abidjan,Mobile Money,Fidèle,28,1002076.0,35788.42857142857,2024-12-12,19,0.7777777777777778,0
193,F,33,Korhogo,Mobile Money,Nouveau,22,569491.0,25885.954545454544,2024-09-11,111,0.6111111111111112,1
194,M,55,Bouaké,Site Web,Nouveau,19,973944.0,51260.21052631579,2024-10-22,70,0.5277777777777778,0
195,F,30,Abidjan,Boutique,Fidèle,40,1144139.0,28603.475,2024-12-29,2,1.1111111111111112,0
196,F,47,Abidjan,Réseaux sociaux,Fidèle,28,727488.0,25981.714285714286,2024-12-30,1,0.7777777777777778,0
197,M,34,Yamoussoukro,Site Web,Nouveau,28,774864.0,27673.714285714286,2024-07-25,159,0.7777777777777778,1
198,M,38,Abidjan,Mobile Money,Occasionnel,23,692932.0,30127.478260869564,2024-12-15,16,0.6388888888888888,0
199,F,34,Abidjan,Boutique,Fidèle,20,462459.0,23122.95,2024-12-13,18,0.5555555555555556,0
200,F,43,Abidjan,Réseaux sociaux,Régulier,31,872156.0,28134.064516129034,2024-12-15,16,0.8611111111111112,0
201,M,26,Bouaké,Boutique,Régulier,29,936611.0,32296.931034482757,2024-12-23,8,0.8055555555555556,0
202,M,23,Abengourou,Site Web,Régulier,25,895899.0,35835.96,2024-11-26,35,0.6944444444444444,0
203,F,26,Yamoussoukro,Boutique,Fidèle,42,1178915.0,28069.404761904763,2024-12-02,29,1.1666666666666667,0
204,F,35,San-Pédro,Boutique,Occasionnel,27,580029.0,21482.555555555555,2024-12-16,15,0.75,0
205,F,31,Abidjan,Site Web,Nouveau,21,787808.0,37514.666666666664,2024-11-19,42,0.5833333333333334,0
206,F,41,Abidjan,Mobile Money,Occasionnel,29,1198885.0,41340.862068965514,2024-11-14,47,0.8055555555555556,0
207,F,48,Gagnoa,Boutique,Régulier,32,1077344.0,33667.0,2024-11-29,32,0.8888888888888888,0
208,M,23,Abidjan,Mobile Money,Occasionnel,29,1273068.0,43898.89655172414,2024-11-03,58,0.8055555555555556,0
209,F,25,San-Pédro,Site Web,Nouveau,32,933967.0,29186.46875,2024-11-04,57,0.8888888888888888,0
210,F,18,Abidjan,Site Web,Régulier,3,83391.0,27797.0,2024-08-25,128,0.08333333333333333,1
211,M,56,Abidjan,Mobile Money,Occasionnel,1,4555.0,4555.0,2022-03-19,1018,0.027777777777777776,1
212,M,37,Bouaké,Mobile Money,VIP,7,195174.0,27882.0,2024-12-27,4,0.19444444444444445,0
213,F,39,Abidjan,Partenaire,Occasionnel,3,28954.0,9651.333333333334,2023-11-22,405,0.08333333333333333,1
214,M,19,Abidjan,Mobile Money,Régulier,27,1176715.0,43582.03703703704,2024-10-07,85,0.75,0
215,M,33,Abidjan,Mobile Money,Occasionnel,34,798514.0,23485.70588235294,2024-11-24,37,0.9444444444444444,0
216,M,39,Abidjan,Mobile Money,Nouveau,32,1083388.0,33855.875,2024-10-22,70,0.8888888888888888,1
217,F,31,Abidjan,Boutique,Occasionnel,27,587573.0,21761.962962962964,2024-11-14,47,0.75,1
218,F,45,Korhogo,Mobile Money,Nouveau,6,120309.0,20051.5,2024-09-20,102,0.16666666666666666,1
219,M,59,Abidjan,Réseaux sociaux,Régulier,5,111414.0,22282.8,2024-09-28,94,0.1388888888888889,1
220,F,23,San-Pédro,Site Web,Régulier,20,432510.0,21625.5,2024-10-27,65,0.5555555555555556,0
221,F,22,Bouaké,Mobile Money,Nouveau,2,77034.0,38517.0,2023-10-29,429,0.05555555555555555,1
222,F,24,Abidjan,Boutique,Occasionnel,30,1187983.0,39599.433333333334,2024-10-20,72,0.8333333333333334,0
223,M,51,Abidjan,Mobile Money,VIP,25,971351.0,38854.04,2024-12-24,7,0.6944444444444444,0
224,M,45,Man,Mobile Money,Nouveau,40,996027.0,24900.675,2024-11-29,32,1.1111111111111112,1
225,F,32,Bouaké,Site Web,Fidèle,2,11387.0,5693.5,2024-08-28,125,0.05555555555555555,1
226,M,34,Man,Mobile Money,Nouveau,21,689798.0,32847.52380952381,2024-12-19,12,0.5833333333333334,0
227,F,25,Abidjan,Réseaux sociaux,Nouveau,31,1075950.0,34708.06451612903,2024-12-21,10,0.8611111111111112,0
228,M,43,Yamoussoukro,Boutique,Occasionnel,28,906919.0,32389.964285714286,2024-12-16,15,0.7777777777777778,0
229,M,29,Daloa,Mobile Money,Nouveau,3,152185.0,50728.333333333336,2024-08-09,144,0.08333333333333333,1
230,F,31,Gagnoa,Partenaire,Fidèle,3,65628.0,21876.0,2024-04-23,252,0.08333333333333333,1
231,F,40,Abidjan,Boutique,Régulier,33,1213340.0,36767.878787878784,2024-12-25,6,0.9166666666666666,0
232,F,31,Divo,Mobile Money,Régulier,5,222567.0,44513.4,2024-12-01,30,0.1388888888888889,0
233,M,31,Abidjan,Boutique,Régulier,23,626664.0,27246.260869565216,2024-12-18,13,0.6388888888888888,0
234,M,34,San-Pédro,Partenaire,Régulier,1,18305.0,18305.0,2023-08-12,507,0.027777777777777776,1
235,M,42,Abidjan,Boutique,Régulier,22,405506.0,18432.090909090908,2024-12-20,11,0.6111111111111112,1
236,M,52,Bouaké,Boutique,Régulier,37,1047359.0,28307.0,2024-11-10,51,1.0277777777777777,0
237,F,40,Abidjan,Boutique,Fidèle,2,57662.0,28831.0,2024-09-13,109,0.05555555555555555,1
238,M,42,San-Pédro,Mobile Money,Occasionnel,5,201761.0,40352.2,2024-08-11,142,0.1388888888888889,1
239,F,31,Abidjan,Mobile Money,Occasionnel,36,991408.0,27539.11111111111,2024-11-23,38,1.0,0
