client_id,genre,age,ville,canal_acquisition,date_inscription,segment_marketing,actif
53,M,23,Abidjan,Boutique,2024-07-10,Nouveau,1
54,M,53,Divo,Mobile Money,2023-10-04,Fidèle,0
55,M,39,Korhogo,Mobile Money,2024-04-14,Occasionnel,1
56,M,29,San-Pédro,Site Web,2023-06-29,Régulier,0
57,F,26,Korhogo,Mobile Money,2024-11-28,Occasionnel,1
58,M,36,Abidjan,Site Web,2022-10-24,Occasionnel,1
59,F,18,Abidjan,Boutique,2023-09-03,Nouveau,1
60,F,41,Abidjan,Site Web,2022-01-08,Occasionnel,0
61,M,23,Korhogo,Boutique,2024-07-01,Nouveau,1
62,F,38,Abidjan,Réseaux sociaux,2023-09-14,Régulier,1
63,M,28,Abidjan,Mobile Money,2022-07-12,Nouveau,1
64,M,31,Yamoussoukro,Réseaux sociaux,2024-06-14,Nouveau,1
65,M,25,Abidjan,Mobile Money,2024-12-19,Occasionnel,0
66,M,32,Daloa,Mobile Money,2022-03-17,Occasionnel,0
67,M,54,Abidjan,Boutique,2024-07-15,Occasionnel,1
68,F,49,Yamoussoukro,Mobile Money,2024-03-17,Régulier,1
69,F,37,Korhogo,Boutique,2023-01-24,Régulier,1
70,F,33,Bouaké,Réseaux sociaux,2023-11-26,Occasionnel,1
71,F,43,Abidjan,Site Web,2024-05-10,Occasionnel,0
72,F,46,Abidjan,Site Web,2023-06-09,Nouveau,1
73,M,24,Abidjan,Partenaire,2023-12-31,Occasionnel,1
74,F,33,Abidjan,Boutique,2022-02-22,Fidèle,1
75,F,18,Bouaké,Mobile Money,2024-10-10,Occasionnel,0
76,F,46,Abidjan,Réseaux sociaux,2024-10-08,Fidèle,1
77,F,56,Abidjan,Mobile Money,2022-08-19,Nouveau,0
78,M,34,Abidjan,Mobile Money,2023-06-07,Régulier,1
79,M,18,Divo,Mobile Money,2022-09-19,Régulier,1
80,M,40,Abidjan,Mobile Money,2023-03-14,Régulier,0
81,M,24,Abidjan,Mobile Money,2022-10-29,Régulier,1
82,F,26,Abidjan,Mobile Money,2024-08-01,Nouveau,0
83,M,40,Abidjan,Boutique,2024-01-31,Régulier,1
84,F,36,Man,Site Web,2024-07-14,Occasionnel,0
85,F,28,Abidjan,Partenaire,2024-05-18,Occasionnel,1
86,F,26,Yamoussoukro,Mobile Money,2024-03-07,Nouveau,1
87,M,35,Bouaké,Mobile Money,2022-07-02,Nouveau,0
88,F,29,San-Pédro,Boutique,2024-06-27,Fidèle,0
89,F,21,Yamoussoukro,Mobile Money,2024-05-07,Nouveau,0
90,F,30,Daloa,Boutique,2022-05-17,Occasionnel,1
91,F,37,Abidjan,Site Web,2022-04-07,Nouveau,1
92,M,32,Abidjan,Site Web,2024-04-13,Régulier,1
93,F,18,Yamoussoukro,Mobile Money,2023-03-04,Régulier,1
94,F,44,Bouaké,Site Web,2022-12-26,Fidèle,1
95,F,18,Abidjan,Site Web,2023-03-11,Occasionnel,1
96,M,29,Abidjan,Réseaux sociaux,2024-08-07,Nouveau,1
97,F,27,Abidjan,Mobile Money,2023-02-03,Nouveau,1
98,F,35,Abidjan,Site Web,2023-02-10,Nouveau,0
99,F,40,Abidjan,Site Web,2023-03-14,Régulier,0
100,M,46,Abidjan,Mobile Money,2022-03-01,VIP,1
101,M,26,Abidjan,Site Web,2022-02-11,Nouveau,0
102,M,40,Bouaké,Site Web,2023-03-30,Occasionnel,0
103,F,36,Yamoussoukro,Mobile Money,2022-01-19,Régulier,1
104,M,18,Bouaké,Boutique,2024-04-08,Occasionnel,1
105,M,54,Yamoussoukro,Boutique,2023-04-10,Régulier,0
106,M,18,Abidjan,Site Web,2023-07-03,Occasionnel,1
107,F,38,Abidjan,Mobile Money,2023-01-03,Nouveau,1
108,F,38,Yamoussoukro,Boutique,2024-04-16,Occasionnel,1
109,F,37,San-Pédro,Mobile Money,2023-04-14,Occasionnel,1
110,M,28,Yamoussoukro,Site Web,2022-02-08,Régulier,1
111,F,43,Yamoussoukro,Site Web,2023-06-19,Nouveau,1
112,F,18,Yamoussoukro,Boutique,2022-07-13,Occasionnel,1
113,F,33,Daloa,Boutique,2023-10-14,VIP,0
114,M,27,Yamoussoukro,Mobile Money,2023-09-10,Occasionnel,1
115,F,26,Daloa,Mobile Money,2023-06-04,Nouveau,0
116,M,38,Abidjan,Site Web,2023-02-26,Fidèle,1
117,M,45,Abidjan,Mobile Money,2023-10-15,Nouveau,0
118,M,30,Abidjan,Site Web,2024-01-15,Régulier,1
119,F,42,Abidjan,Site Web,2024-08-20,Nouveau,0
120,M,34,Daloa,Réseaux sociaux,2024-11-19,Fidèle,0
121,M,24,Abidjan,Mobile Money,2022-04-02,Nouveau,1
122,M,31,Abidjan,Boutique,2023-12-24,Occasionnel,1
123,F,30,Daloa,Mobile Money,2022-04-03,VIP,0
124,F,26,Abidjan,Réseaux sociaux,2023-04-03,Occasionnel,1
125,F,38,San-Pédro,Site Web,2024-03-22,Nouveau,1
126,F,36,Abidjan,Site Web,2023-08-17,Nouveau,1
127,F,18,Abidjan,Site Web,2024-06-03,Nouveau,0
128,F,18,Abidjan,Mobile Money,2024-09-26,Nouveau,1
129,F,38,Abidjan,Site Web,2024-12-02,Occasionnel,1
130,M,25,Abidjan,Réseaux sociaux,2024-01-07,Occasionnel,1
131,F,37,Abidjan,Mobile Money,2024-01-08,Fidèle,1
132,M,42,Abidjan,Partenaire,2024-05-29,Régulier,0
133,M,20,Abidjan,Réseaux sociaux,2022-09-13,Fidèle,0
134,F,18,Daloa,Partenaire,2022-11-27,Occasionnel,1
135,M,52,Abidjan,Réseaux sociaux,2023-01-09,Occasionnel,1
136,F,37,Abidjan,Mobile Money,2024-03-26,Occasionnel,1
137,M,29,Abidjan,Boutique,2023-01-20,Occasionnel,1
138,F,23,Man,Mobile Money,2022-06-02,Nouveau,0
139,M,28,Daloa,Site Web,2024-05-24,Fidèle,1
140,F,20,Abengourou,Mobile Money,2024-04-01,Régulier,1
141,F,43,Man,Réseaux sociaux,2023-10-13,Nouveau,1
142,F,25,Abidjan,Mobile Money,2024-08-23,Occasionnel,1
143,M,46,Yamoussoukro,Mobile Money,2024-05-17,Nouveau,1
144,M,29,Abidjan,Mobile Money,2024-09-12,Occasionnel,1
145,F,22,Korhogo,Site Web,2022-10-12,Occasionnel,1
146,F,29,Abidjan,Mobile Money,2022-05-08,Fidèle,0
147,F,18,Abidjan,Mobile Money,2023-01-09,Occasionnel,1
148,M,32,Man,Mobile Money,2024-06-27,Occasionnel,0
149,F,32,San-Pédro,Mobile Money,2024-10-09,Régulier,1
150,F,43,Gagnoa,Partenaire,2022-05-01,Fidèle,1
151,M,18,Abidjan,Boutique,2024-07-25,Régulier,0
152,M,46,Abidjan,Mobile Money,2023-06-08,Occasionnel,0
153,F,43,Abidjan,Mobile Money,2024-06-14,Occasionnel,1
154,M,47,Abidjan,Mobile Money,2024-01-18,Régulier,1
155,F,33,Abidjan,Boutique,2022-03-07,Régulier,1
156,M,45,Abidjan,Mobile Money,2023-06-15,VIP,1
157,F,18,Daloa,Mobile Money,2022-04-08,Occasionnel,1
158,M,41,Abidjan,Mobile Money,2023-01-08,Régulier,1
159,M,25,Yamoussoukro,Mobile Money,2024-04-09,Nouveau,1
160,M,18,San-Pédro,Site Web,2024-01-19,Nouveau,1
161,F,21,Bouaké,Mobile Money,2024-02-11,Nouveau,1
162,M,34,Abidjan,Site Web,2023-12-25,Nouveau,1
163,F,24,Abidjan,Site Web,2022-01-17,Occasionnel,1
164,F,38,Abidjan,Réseaux sociaux,2023-10-01,Occasionnel,0
165,M,18,Daloa,Mobile Money,2023-06-16,Régulier,0
166,F,18,Abidjan,Site Web,2023-08-02,Régulier,1
167,M,49,Abidjan,Réseaux sociaux,2022-08-21,Nouveau,1
168,M,43,Abengourou,Partenaire,2024-02-12,Régulier,0
169,F,22,Yamoussoukro,Réseaux sociaux,2023-10-28,Nouveau,1
170,M,33,San-Pédro,Mobile Money,2023-03-18,Nouveau,1
171,F,45,Abidjan,Partenaire,2022-03-03,VIP,1
172,F,38,Divo,Réseaux sociaux,2022-03-17,Nouveau,1
173,F,35,Abidjan,Mobile Money,2023-01-29,Nouveau,1
174,M,46,Abidjan,Mobile Money,2023-08-12,Régulier,1
175,F,25,Korhogo,Partenaire,2024-12-27,Occasionnel,1
176,F,34,Korhogo,Mobile Money,2024-03-03,Occasionnel,1
177,F,33,Abidjan,Site Web,2023-06-16,Régulier,1
178,M,30,Abidjan,Boutique,2022-11-24,Régulier,1
179,M,29,Abidjan,Site Web,2022-07-04,Occasionnel,0
180,M,34,Daloa,Mobile Money,2022-06-04,Fidèle,1
181,M,34,San-Pédro,Site Web,2022-03-20,Nouveau,1
182,M,22,Abidjan,Boutique,2024-09-25,Occasionnel,1
183,F,42,Abidjan,Réseaux sociaux,2022-01-18,Nouveau,1
184,F,23,Yamoussoukro,Mobile Money,2024-08-03,Nouveau,0
185,M,31,Daloa,Mobile Money,2023-10-01,VIP,0
186,M,30,Abidjan,Mobile Money,2023-11-09,Régulier,1
187,F,37,Bouaké,Mobile Money,2024-11-15,Nouveau,1
188,F,18,Abengourou,Partenaire,2024-05-11,Occasionnel,1
189,M,43,Abidjan,Mobile Money,2022-06-11,Nouveau,1
190,F,26,Bouaké,Mobile Money,2024-11-26,Régulier,1
191,M,47,Bouaké,Réseaux sociaux,2022-07-12,Occasionnel,1
192,F,28,Abidjan,Mobile Money,2023-09-16,Fidèle,1
193,F,33,Korhogo,Mobile Money,2023-12-03,Nouveau,1
194,M,55,Bouaké,Site Web,2022-09-25,Nouveau,1
195,F,30,Abidjan,Boutique,2023-11-22,Fidèle,1
196,F,47,Abidjan,Réseaux sociaux,2023-12-01,Fidèle,1
197,M,34,Yamoussoukro,Site Web,2024-12-08,Nouveau,1
198,M,38,Abidjan,Mobile Money,2024-09-28,Occasionnel,1
199,F,34,Abidjan,Boutique,2023-03-14,Fidèle,1
200,F,43,Abidjan,Réseaux sociaux,2024-01-26,Régulier,1
201,M,26,Bouaké,Boutique,2024-06-17,Régulier,1
202,M,23,Abengourou,Site Web,2022-01-29,Régulier,1
203,F,26,Yamoussoukro,Boutique,2024-01-20,Fidèle,1
204,F,35,San-Pédro,Boutique,2024-10-01,Occasionnel,1
205,F,31,Abidjan,Site Web,2022-05-12,Nouveau,1
206,F,41,Abidjan,Mobile Money,2024-04-05,Occasionnel,1
207,F,48,Gagnoa,Boutique,2022-03-08,Régulier,1
208,M,23,Abidjan,Mobile Money,2023-03-17,Occasionnel,1
209,F,25,San-Pédro,Site Web,2024-06-16,Nouveau,1
210,F,18,Abidjan,Site Web,2024-12-17,Régulier,0
211,M,56,Abidjan,Mobile Money,2024-03-07,Occasionnel,0
212,M,37,Bouaké,Mobile Money,2024-03-01,VIP,0
213,F,39,Abidjan,Partenaire,2022-10-11,Occasionnel,0
214,M,19,Abidjan,Mobile Money,2024-06-22,Régulier,1
215,M,33,Abidjan,Mobile Money,2023-12-23,Occasionnel,1
216,M,39,Abidjan,Mobile Money,2024-10-29,Nouveau,1
217,F,31,Abidjan,Boutique,2023-10-23,Occasionnel,1
218,F,45,Korhogo,Mobile Money,2022-02-13,Nouveau,0
219,M,59,Abidjan,Réseaux sociaux,2023-07-14,Régulier,0
220,F,23,San-Pédro,Site Web,2024-04-27,Régulier,1
221,F,22,Bouaké,Mobile Money,2024-05-12,Nouveau,0
222,F,24,Abidjan,Boutique,2023-02-28,Occasionnel,1
223,M,51,Abidjan,Mobile Money,2022-07-07,VIP,1
224,M,45,Man,Mobile Money,2024-08-09,Nouveau,1
225,F,32,Bouaké,Site Web,2024-06-20,Fidèle,0
226,M,34,Man,Mobile Money,2024-08-20,Nouveau,1
227,F,25,Abidjan,Réseaux sociaux,2024-01-05,Nouveau,1
228,M,43,Yamoussoukro,Boutique,2024-06-26,Occasionnel,1
229,M,29,Daloa,Mobile Money,2023-03-18,Nouveau,0
230,F,31,Gagnoa,Partenaire,2024-05-03,Fidèle,0
231,F,40,Abidjan,Boutique,2023-06-19,Régulier,1
232,F,31,Divo,Mobile Money,2024-05-19,Régulier,0
233,M,31,Abidjan,Boutique,2022-06-10,Régulier,1
234,M,34,San-Pédro,Partenaire,2022-11-21,Régulier,0
235,M,42,Abidjan,Boutique,2022-08-23,Régulier,1
236,M,52,Bouaké,Boutique,2023-03-22,Régulier,1
237,F,40,Abidjan,Boutique,2024-06-10,Fidèle,0
238,M,42,San-Pédro,Mobile Money,2022-05-06,Occasionnel,0
239,F,31,Abidjan,Mobile Money,2024-03-10,Occasionnel,1
240,F,26,Abidjan,Boutique,2024-06-28,Occasionnel,0
241,M,41,Bouaké,Réseaux sociaux,2024-01-05,Occasionnel,1
242,M,35,Daloa,Site Web,2023-12-09,Nouveau,1
243,F,18,Abidjan,Mobile Money,2022-06-01,Occasionnel,1
244,M,30,Yamoussoukro,Boutique,2023-11-02,Occasionnel,1
245,M,33,Abidjan,Mobile Money,2022-09-05,Nouveau,1
246,M,28,Yamoussoukro,Mobile Money,2022-09-27,Fidèle,1
247,M,50,Yamoussoukro,Site Web,2024-08-01,Régulier,1
248,F,39,Yamoussoukro,Mobile Money,2023-11-05,Nouveau,1
249,F,49,San-Pédro,Réseaux sociaux,2024-12-23,Fidèle,1
250,F,36,Abidjan,Boutique,2023-05-13,Fidèle,1
251,M,34,Abidjan,Site Web,2023-01-27,Fidèle,1
252,M,23,Yamoussoukro,Réseaux sociaux,2024-12-25,Nouveau,1
253,F,34,Abidjan,Site Web,2023-11-13,Occasionnel,1
254,F,34,Abidjan,Réseaux sociaux,2024-08-03,Occasionnel,1
255,F,18,Daloa,Réseaux sociaux,2022-02-18,Régulier,1
256,M,28,Abidjan,Boutique,2023-07-30,Régulier,0
257,M,30,Abidjan,Mobile Money,2024-06-13,Régulier,0
258,F,38,Abengourou,Mobile Money,2024-06-04,Régulier,1
259,F,39,Abidjan,Réseaux sociaux,2024-02-22,Fidèle,1
260,M,27,Abidjan,Mobile Money,2022-06-30,Occasionnel,1
261,F,39,Abidjan,Partenaire,2023-08-22,Fidèle,1
262,M,31,Abidjan,Mobile Money,2022-04-22,Régulier,1
263,F,18,Yamoussoukro,Site Web,2024-05-28,Nouveau,1
264,F,28,Daloa,Mobile Money,2023-11-22,Régulier,1
265,M,45,Bouaké,Partenaire,2022-08-01,Nouveau,1
266,F,18,Abidjan,Mobile Money,2024-03-06,Nouveau,0
267,F,35,Abidjan,Boutique,2024-02-27,VIP,1
268,F,51,Abidjan,Réseaux sociaux,2022-02-28,Occasionnel,1
269,F,25,Yamoussoukro,Mobile Money,2022-04-08,Occasionnel,0
270,F,34,Bouaké,Mobile Money,2022-08-09,VIP,1
271,F,19,Abidjan,Réseaux sociaux,2022-03-18,Occasionnel,1
272,F,51,San-Pédro,Réseaux sociaux,2023-08-12,Nouveau,1
273,F,33,Daloa,Mobile Money,2024-08-21,Nouveau,1
274,M,34,Abidjan,Boutique,2022-03-10,Occasionnel,1
275,M,48,Bouaké,Mobile Money,2023-11-04,Nouveau,1
276,F,41,Bouaké,Mobile Money,2023-04-10,Nouveau,1
277,F,24,Abidjan,Site Web,2024-07-04,Régulier,1
278,F,26,Abidjan,Mobile Money,2023-06-12,Nouveau,1
279,M,39,Yamoussoukro,Boutique,2024-01-03,Occasionnel,1
280,M,27,Man,Mobile Money,2024-10-06,Nouveau,1
281,F,18,Bouaké,Réseaux sociaux,2022-05-30,Occasionnel,1
282,F,33,Bouaké,Boutique,2022-12-12,Régulier,1
283,F,18,Bouaké,Mobile Money,2022-10-23,Occasionnel,1
284,F,51,Abidjan,Partenaire,2022-07-04,Nouveau,1
285,M,35,Abidjan,Réseaux sociaux,2023-12-11,Nouveau,1
286,F,24,Abidjan,Mobile Money,2022-01-09,Nouveau,1
287,F,26,Korhogo,Partenaire,2023-02-27,Nouveau,1
288,F,18,San-Pédro,Mobile Money,2022-05-14,Occasionnel,1
289,M,21,Man,Mobile Money,2023-11-05,Nouveau,1
290,F,45,Abidjan,Boutique,2024-04-02,Nouveau,1
291,M,58,Abidjan,Mobile Money,2023-05-27,Nouveau,1
292,F,41,Bouaké,Site Web,2023-05-03,Régulier,0
293,M,32,Abidjan,Boutique,2023-05-08,Occasionnel,1
294,F,29,Abidjan,Réseaux sociaux,2022-08-06,Occasionnel,1
295,M,23,Daloa,Mobile Money,2023-02-16,Occasionnel,0
296,M,56,Yamoussoukro,Mobile Money,2024-10-18,Occasionnel,1
297,M,31,Bouaké,Boutique,2022-02-15,Nouveau,1
298,M,57,Abidjan,Mobile Money,2024-05-12,Occasionnel,1
299,M,49,Abidjan,Partenaire,2022-06-30,Occasionnel,1
300,M,18,Abidjan,Site Web,2022-05-06,Occasionnel,1
301,M,26,Abidjan,Site Web,2022-11-09,Nouveau,0
302,F,26,Abidjan,Site Web,2022-10-22,Fidèle,1
303,M,33,Abidjan,Mobile Money,2022-12-13,Régulier,1
304,F,33,Gagnoa,Mobile Money,2024-07-19,Nouveau,1
305,M,66,Abidjan,Boutique,2024-09-17,Fidèle,0
306,F,22,Abidjan,Réseaux sociaux,2024-01-29,Nouveau,1
307,F,36,Abidjan,Mobile Money,2022-06-10,Nouveau,1
308,M,40,Yamoussoukro,Mobile Money,2024-11-01,Nouveau,1
309,F,33,Abidjan,Site Web,2024-07-16,Fidèle,1
310,F,35,Abidjan,Mobile Money,2022-03-25,Nouveau,1
311,F,22,Abidjan,Boutique,2023-03-01,Régulier,0
312,F,35,Abidjan,Mobile Money,2024-04-29,Régulier,0
313,F,39,Bouaké,Boutique,2022-04-08,Occasionnel,1
314,F,37,Abidjan,Boutique,2022-03-25,Occasionnel,1
315,F,40,Abidjan,Réseaux sociaux,2023-10-26,Nouveau,1
316,F,49,Daloa,Site Web,2023-01-04,Régulier,1
317,F,44,Abidjan,Mobile Money,2023-04-29,Occasionnel,1
318,M,34,Bouaké,Site Web,2024-04-01,Occasionnel,1
319,F,21,Abidjan,Site Web,2023-08-20,Nouveau,1
320,M,27,Bouaké,Site Web,2024-02-18,Régulier,1
321,M,31,Abidjan,Partenaire,2022-05-19,Régulier,1
322,F,36,Abidjan,Réseaux sociaux,2022-01-03,Occasionnel,1
323,F,28,Abidjan,Mobile Money,2022-10-03,Occasionnel,1
324,M,23,Abengourou,Boutique,2022-08-10,Nouveau,1
325,M,20,Abidjan,Boutique,2022-12-21,Nouveau,1
326,M,18,Man,Boutique,2024-05-02,Nouveau,1
327,M,31,Man,Partenaire,2022-06-16,Régulier,1
328,M,18,Abidjan,Site Web,2022-05-19,Nouveau,1
329,M,22,Abidjan,Mobile Money,2022-08-08,Nouveau,0
330,F,29,Abidjan,Partenaire,2022-12-24,Nouveau,1
331,M,19,Abengourou,Site Web,2022-08-05,Nouveau,1
332,F,38,Bouaké,Mobile Money,2022-07-21,Occasionnel,1
333,M,42,Abidjan,Réseaux sociaux,2023-09-27,Régulier,1
334,M,27,Abidjan,Boutique,2022-05-03,Occasionnel,0
335,F,29,San-Pédro,Boutique,2022-06-18,Occasionnel,1
336,M,39,Abidjan,Boutique,2024-07-05,Occasionnel,1
337,F,26,Abidjan,Partenaire,2022-01-20,Occasionnel,1
338,M,25,Abidjan,Mobile Money,2022-03-09,Fidèle,1
339,F,47,Abidjan,Mobile Money,2022-03-18,Régulier,1
340,M,43,Korhogo,Site Web,2023-08-10,Fidèle,1
341,F,40,Daloa,Réseaux sociaux,2024-01-31,Fidèle,0
342,M,44,Abidjan,Mobile Money,2024-01-29,Fidèle,1
343,M,18,Abidjan,Mobile Money,2024-01-26,Occasionnel,1
344,M,48,Daloa,Partenaire,2022-03-05,Occasionnel,1
345,M,38,Abidjan,Site Web,2023-01-13,Régulier,1
346,M,45,Abidjan,Boutique,2023-11-25,Nouveau,1
347,M,38,Abidjan,Boutique,2024-01-17,Occasionnel,1
348,F,34,Bouaké,Boutique,2023-01-01,Fidèle,1
349,M,30,Gagnoa,Site Web,2024-07-16,Occasionnel,1
350,F,38,Yamoussoukro,Boutique,2024-07-01,Nouveau,0
351,M,30,Abidjan,Site Web,2024-04-18,Occasionnel,1
352,F,43,Yamoussoukro,Mobile Money,2024-05-23,Nouveau,1
353,M,18,Abidjan,Réseaux sociaux,2024-12-03,Occasionnel,1
354,M,28,Korhogo,Mobile Money,2024-05-19,Occasionnel,1
355,F,56,Abidjan,Réseaux sociaux,2023-10-04,Occasionnel,1
356,M,27,Abidjan,Mobile Money,2023-03-13,Occasionnel,1
357,M,31,Abidjan,Mobile Money,2023-02-01,Nouveau,1
358,M,24,Abidjan,Mobile Money,2024-06-19,Occasionnel,1
359,F,37,Abidjan,Mobile Money,2022-11-21,Nouveau,1
360,M,25,Bouaké,Boutique,2023-11-21,Occasionnel,1
361,M,31,Daloa,Site Web,2023-07-05,Régulier,0
362,F,43,San-Pédro,Réseaux sociaux,2023-02-19,Nouveau,1
363,F,26,Abidjan,Boutique,2023-05-09,Fidèle,1
364,F,42,Abidjan,Boutique,2022-03-30,Régulier,1
365,M,43,Abidjan,Mobile Money,2024-02-16,Nouveau,1
366,F,45,Abidjan,Réseaux sociaux,2022-03-15,Occasionnel,1
367,M,35,Abidjan,Mobile Money,2022-03-22,Nouveau,1
368,M,69,Korhogo,Mobile Money,2022-10-03,Nouveau,0
369,F,45,Gagnoa,Mobile Money,2023-08-05,Fidèle,1
370,M,37,Abidjan,Mobile Money,2022-11-25,Régulier,1
371,M,24,Daloa,Boutique,2024-08-21,Régulier,1
372,F,32,Bouaké,Mobile Money,2024-10-12,Régulier,0
373,F,49,Abidjan,Mobile Money,2023-03-07,Fidèle,1
374,F,52,Bouaké,Réseaux sociaux,2024-12-30,Fidèle,0
375,F,50,Abidjan,Mobile Money,2022-04-08,Nouveau,1
376,F,42,Abidjan,Site Web,2022-06-07,Nouveau,1
377,M,20,Abengourou,Boutique,2023-01-16,Occasionnel,0
378,F,39,Bouaké,Réseaux sociaux,2024-10-29,Nouveau,1
379,F,20,Abidjan,Site Web,2023-07-06,Occasionnel,1
380,M,18,Abidjan,Mobile Money,2024-02-13,Nouveau,1
381,M,36,Divo,Réseaux sociaux,2023-12-16,Régulier,1
382,M,39,Abidjan,Boutique,2023-06-30,Nouveau,0
383,M,43,Korhogo,Mobile Money,2024-10-17,Régulier,0
384,F,39,Korhogo,Site Web,2024-11-11,Occasionnel,1
385,F,39,Abidjan,Site Web,2023-05-06,Nouveau,1
386,M,23,Yamoussoukro,Mobile Money,2024-02-21,Fidèle,1
387,M,32,Yamoussoukro,Boutique,2023-11-15,Occasionnel,1
388,M,18,Daloa,Mobile Money,2023-10-13,Régulier,1
389,F,18,Abidjan,Boutique,2022-04-22,Fidèle,1
390,M,42,Abidjan,Partenaire,2022-08-18,Nouveau,0
391,M,25,Abidjan,Boutique,2024-12-20,Nouveau,1
392,F,43,Bouaké,Partenaire,2022-09-25,Nouveau,1
393,M,46,Daloa,Mobile Money,2023-12-15,Nouveau,0
394,M,27,Daloa,Site Web,2024-09-25,Fidèle,0
395,F,40,Bouaké,Partenaire,2023-10-22,Régulier,1
396,F,26,Abidjan,Site Web,2022-08-24,Occasionnel,1
397,M,18,Abidjan,Mobile Money,2024-07-30,Régulier,1
398,F,35,Daloa,Mobile Money,2022-02-05,Fidèle,1
399,F,28,Abidjan,Mobile Money,2024-03-02,Nouveau,1
400,F,29,Daloa,Site Web,2022-10-19,Nouveau,1
401,F,55,Abidjan,Partenaire,2023-12-03,Fidèle,1
402,M,18,Abidjan,Boutique,2023-06-11,Régulier,1
403,M,38,Man,Mobile Money,2023-09-16,Nouveau,0
404,F,23,Abidjan,Mobile Money,2023-02-23,Occasionnel,0
405,M,43,Abidjan,Boutique,2023-08-03,Nouveau,1
406,M,37,Yamoussoukro,Boutique,2024-10-21,Régulier,1
407,F,38,Bouaké,Mobile Money,2024-06-23,Régulier,1
408,M,23,Divo,Site Web,2023-04-04,Nouveau,1
409,F,25,Korhogo,Mobile Money,2024-10-27,Régulier,0
410,M,44,Daloa,Site Web,2024-08-31,Occasionnel,1
411,M,53,Abidjan,Boutique,2023-11-18,Régulier,1
412,M,39,Abidjan,Mobile Money,2023-10-14,Régulier,1
413,F,24,Korhogo,Site Web,2022-02-09,Occasionnel,1
414,M,37,Abidjan,Site Web,2023-07-28,Nouveau,1
