client_key,client_id_nk,genre,age,tranche_age,ville,canal_acquisition,segment_marketing,date_inscription,statut
24,24,M,34,26-35,Abidjan,Boutique,Nouveau,2024-01-20,Inactif
25,25,M,36,36-45,Daloa,Mobile Money,Nouveau,2024-09-16,Actif
26,26,F,57,56+,Yamoussoukro,Mobile Money,Occasionnel,2024-04-07,Actif
27,27,F,47,46-55,Abidjan,Site Web,Occasionnel,2024-08-10,Actif
28,28,F,42,36-45,Abidjan,Boutique,Régulier,2024-11-03,Inactif
29,29,F,23,18-25,Abidjan,Boutique,Fidèle,2022-03-07,Actif
30,30,M,28,26-35,San-Pédro,Partenaire,Occasionnel,2022-09-19,Inactif
31,31,M,32,26-35,Abidjan,Mobile Money,Occasionnel,2022-06-08,Actif
32,32,M,25,18-25,Abidjan,Boutique,VIP,2023-09-14,Inactif
33,33,F,39,36-45,Abidjan,Boutique,Occasionnel,2023-03-23,Inactif
34,34,F,37,36-45,Man,Mobile Money,VIP,2022-02-14,Actif
35,35,F,22,18-25,Abidjan,Partenaire,Régulier,2023-09-03,Actif
36,36,F,47,46-55,Abidjan,Partenaire,Nouveau,2022-04-21,Actif
37,37,F,35,26-35,Abidjan,Mobile Money,Nouveau,2023-03-23,Inactif
38,38,F,18,18-25,Yamoussoukro,Partenaire,Nouveau,2023-02-06,Actif
39,39,F,33,26-35,Abidjan,Mobile Money,Régulier,2024-09-05,Actif
40,40,M,37,36-45,Korhogo,Partenaire,Nouveau,2024-01-18,Inactif
41,41,F,44,36-45,Abidjan,Réseaux sociaux,Régulier,2023-11-15,Actif
42,42,M,30,26-35,Abidjan,Mobile Money,Occasionnel,2024-06-29,Actif
43,43,M,43,36-45,Abidjan,Boutique,Fidèle,2022-07-17,Actif
44,44,F,36,36-45,Abidjan,Site Web,Régulier,2022-10-08,Actif
45,45,M,19,18-25,Abidjan,Mobile Money,Nouveau,2024-04-03,Actif
46,46,M,18,18-25,Daloa,Boutique,Nouveau,2024-03-31,Actif
47,47,F,46,46-55,Abidjan,Site Web,Occasionnel,2022-01-24,Inactif
48,48,F,47,46-55,Daloa,Mobile Money,Régulier,2022-09-03,Actif
49,49,M,37,36-45,Abidjan,Mobile Money,Régulier,2022-09-06,Inactif
50,50,F,50,46-55,Bouaké,Mobile Money,Occasionnel,2022-01-07,Actif
51,51,F,45,36-45,Abidjan,Site Web,Régulier,2023-12-26,Inactif
52,52,F,41,36-45,Abidjan,Boutique,Occasionnel,2022-03-01,Actif
53,53,M,23,18-25,Abidjan,Boutique,Nouveau,2024-07-10,Actif
54,54,M,53,46-55,Divo,Mobile Money,Fidèle,2023-10-04,Inactif
55,55,M,39,36-45,Korhogo,Mobile Money,Occasionnel,2024-04-14,Actif
56,56,M,29,26-35,San-Pédro,Site Web,Régulier,2023-06-29,Inactif
57,57,F,26,26-35,Korhogo,Mobile Money,Occasionnel,2024-11-28,Actif
58,58,M,36,36-45,Abidjan,Site Web,Occasionnel,2022-10-24,Actif
59,59,F,18,18-25,Abidjan,Boutique,Nouveau,2023-09-03,Actif
60,60,F,41,36-45,Abidjan,Site Web,Occasionnel,2022-01-08,Inactif
61,61,M,23,18-25,Korhogo,Boutique,Nouveau,2024-07-01,Actif
62,62,F,38,36-45,Abidjan,Réseaux sociaux,Régulier,2023-09-14,Actif
63,63,M,28,26-35,Abidjan,Mobile Money,Nouveau,2022-07-12,Actif
64,64,M,31,26-35,Yamoussoukro,Réseaux sociaux,Nouveau,2024-06-14,Actif
65,65,M,25,18-25,Abidjan,Mobile Money,Occasionnel,2024-12-19,Inactif
66,66,M,32,26-35,Daloa,Mobile Money,Occasionnel,2022-03-17,Inactif
67,67,M,54,46-55,Abidjan,Boutique,Occasionnel,2024-07-15,Actif
68,68,F,49,46-55,Yamoussoukro,Mobile Money,Régulier,2024-03-17,Actif
69,69,F,37,36-45,Korhogo,Boutique,Régulier,2023-01-24,Actif
70,70,F,33,26-35,Bouaké,Réseaux sociaux,Occasionnel,2023-11-26,Actif
71,71,F,43,36-45,Abidjan,Site Web,Occasionnel,2024-05-10,Inactif
72,72,F,46,46-55,Abidjan,Site Web,Nouveau,2023-06-09,Actif
73,73,M,24,18-25,Abidjan,Partenaire,Occasionnel,2023-12-31,Actif
74,74,F,33,26-35,Abidjan,Boutique,Fidèle,2022-02-22,Actif
75,75,F,18,18-25,Bouaké,Mobile Money,Occasionnel,2024-10-10,Inactif
76,76,F,46,46-55,Abidjan,Réseaux sociaux,Fidèle,2024-10-08,Actif
77,77,F,56,56+,Abidjan,Mobile Money,Nouveau,2022-08-19,Inactif
78,78,M,34,26-35,Abidjan,Mobile Money,Régulier,2023-06-07,Actif
79,79,M,18,18-25,Divo,Mobile Money,Régulier,2022-09-19,Actif
80,80,M,40,36-45,Abidjan,Mobile Money,Régulier,2023-03-14,Inactif
81,81,M,24,18-25,Abidjan,Mobile Money,Régulier,2022-10-29,Actif
82,82,F,26,26-35,Abidjan,Mobile Money,Nouveau,2024-08-01,Inactif
83,83,M,40,36-45,Abidjan,Boutique,Régulier,2024-01-31,Actif
84,84,F,36,36-45,Man,Site Web,Occasionnel,2024-07-14,Inactif
85,85,F,28,26-35,Abidjan,Partenaire,Occasionnel,2024-05-18,Actif
86,86,F,26,26-35,Yamoussoukro,Mobile Money,Nouveau,2024-03-07,Actif
87,87,M,35,26-35,Bouaké,Mobile Money,Nouveau,2022-07-02,Inactif
88,88,F,29,26-35,San-Pédro,Boutique,Fidèle,2024-06-27,Inactif
89,89,F,21,18-25,Yamoussoukro,Mobile Money,Nouveau,2024-05-07,Inactif
90,90,F,30,26-35,Daloa,Boutique,Occasionnel,2022-05-17,Actif
91,91,F,37,36-45,Abidjan,Site Web,Nouveau,2022-04-07,Actif
92,92,M,32,26-35,Abidjan,Site Web,Régulier,2024-04-13,Actif
93,93,F,18,18-25,Yamoussoukro,Mobile Money,Régulier,2023-03-04,Actif
94,94,F,44,36-45,Bouaké,Site Web,Fidèle,2022-12-26,Actif
95,95,F,18,18-25,Abidjan,Site Web,Occasionnel,2023-03-11,Actif
96,96,M,29,26-35,Abidjan,Réseaux sociaux,Nouveau,2024-08-07,Actif
97,97,F,27,26-35,Abidjan,Mobile Money,Nouveau,2023-02-03,Actif
98,98,F,35,26-35,Abidjan,Site Web,Nouveau,2023-02-10,Inactif
99,99,F,40,36-45,Abidjan,Site Web,Régulier,2023-03-14,Inactif
100,100,M,46,46-55,Abidjan,Mobile Money,VIP,2022-03-01,Actif
101,101,M,26,26-35,Abidjan,Site Web,Nouveau,2022-02-11,Inactif
102,102,M,40,36-45,Bouaké,Site Web,Occasionnel,2023-03-30,Inactif
103,103,F,36,36-45,Yamoussoukro,Mobile Money,Régulier,2022-01-19,Actif
104,104,M,18,18-25,Bouaké,Boutique,Occasionnel,2024-04-08,Actif
105,105,M,54,46-55,Yamoussoukro,Boutique,Régulier,2023-04-10,Inactif
106,106,M,18,18-25,Abidjan,Site Web,Occasionnel,2023-07-03,Actif
107,107,F,38,36-45,Abidjan,Mobile Money,Nouveau,2023-01-03,Actif
108,108,F,38,36-45,Yamoussoukro,Boutique,Occasionnel,2024-04-16,Actif
109,109,F,37,36-45,San-Pédro,Mobile Money,Occasionnel,2023-04-14,Actif
110,110,M,28,26-35,Yamoussoukro,Site Web,Régulier,2022-02-08,Actif
111,111,F,43,36-45,Yamoussoukro,Site Web,Nouveau,2023-06-19,Actif
112,112,F,18,18-25,Yamoussoukro,Boutique,Occasionnel,2022-07-13,Actif
113,113,F,33,26-35,Daloa,Boutique,VIP,2023-10-14,Inactif
114,114,M,27,26-35,Yamoussoukro,Mobile Money,Occasionnel,2023-09-10,Actif
115,115,F,26,26-35,Daloa,Mobile Money,Nouveau,2023-06-04,Inactif
116,116,M,38,36-45,Abidjan,Site Web,Fidèle,2023-02-26,Actif
117,117,M,45,36-45,Abidjan,Mobile Money,Nouveau,2023-10-15,Inactif
118,118,M,30,26-35,Abidjan,Site Web,Régulier,2024-01-15,Actif
119,119,F,42,36-45,Abidjan,Site Web,Nouveau,2024-08-20,Inactif
120,120,M,34,26-35,Daloa,Réseaux sociaux,Fidèle,2024-11-19,Inactif
121,121,M,24,18-25,Abidjan,Mobile Money,Nouveau,2022-04-02,Actif
122,122,M,31,26-35,Abidjan,Boutique,Occasionnel,2023-12-24,Actif
123,123,F,30,26-35,Daloa,Mobile Money,VIP,2022-04-03,Inactif
124,124,F,26,26-35,Abidjan,Réseaux sociaux,Occasionnel,2023-04-03,Actif
125,125,F,38,36-45,San-Pédro,Site Web,Nouveau,2024-03-22,Actif
126,126,F,36,36-45,Abidjan,Site Web,Nouveau,2023-08-17,Actif
127,127,F,18,18-25,Abidjan,Site Web,Nouveau,2024-06-03,Inactif
128,128,F,18,18-25,Abidjan,Mobile Money,Nouveau,2024-09-26,Actif
129,129,F,38,36-45,Abidjan,Site Web,Occasionnel,2024-12-02,Actif
130,130,M,25,18-25,Abidjan,Réseaux sociaux,Occasionnel,2024-01-07,Actif
131,131,F,37,36-45,Abidjan,Mobile Money,Fidèle,2024-01-08,Actif
132,132,M,42,36-45,Abidjan,Partenaire,Régulier,2024-05-29,Inactif
133,133,M,20,18-25,Abidjan,Réseaux sociaux,Fidèle,2022-09-13,Inactif
134,134,F,18,18-25,Daloa,Partenaire,Occasionnel,2022-11-27,Actif
135,135,M,52,46-55,Abidjan,Réseaux sociaux,Occasionnel,2023-01-09,Actif
136,136,F,37,36-45,Abidjan,Mobile Money,Occasionnel,2024-03-26,Actif
137,137,M,29,26-35,Abidjan,Boutique,Occasionnel,2023-01-20,Actif
138,138,F,23,18-25,Man,Mobile Money,Nouveau,2022-06-02,Inactif
139,139,M,28,26-35,Daloa,Site Web,Fidèle,2024-05-24,Actif
140,140,F,20,18-25,Abengourou,Mobile Money,Régulier,2024-04-01,Actif
141,141,F,43,36-45,Man,Réseaux sociaux,Nouveau,2023-10-13,Actif
142,142,F,25,18-25,Abidjan,Mobile Money,Occasionnel,2024-08-23,Actif
143,143,M,46,46-55,Yamoussoukro,Mobile Money,Nouveau,2024-05-17,Actif
144,144,M,29,26-35,Abidjan,Mobile Money,Occasionnel,2024-09-12,Actif
145,145,F,22,18-25,Korhogo,Site Web,Occasionnel,2022-10-12,Actif
146,146,F,29,26-35,Abidjan,Mobile Money,Fidèle,2022-05-08,Inactif
147,147,F,18,18-25,Abidjan,Mobile Money,Occasionnel,2023-01-09,Actif
148,148,M,32,26-35,Man,Mobile Money,Occasionnel,2024-06-27,Inactif
149,149,F,32,26-35,San-Pédro,Mobile Money,Régulier,2024-10-09,Actif
150,150,F,43,36-45,Gagnoa,Partenaire,Fidèle,2022-05-01,Actif
151,151,M,18,18-25,Abidjan,Boutique,Régulier,2024-07-25,Inactif
152,152,M,46,46-55,Abidjan,Mobile Money,Occasionnel,2023-06-08,Inactif
153,153,F,43,36-45,Abidjan,Mobile Money,Occasionnel,2024-06-14,Actif
154,154,M,47,46-55,Abidjan,Mobile Money,Régulier,2024-01-18,Actif
155,155,F,33,26-35,Abidjan,Boutique,Régulier,2022-03-07,Actif
156,156,M,45,36-45,Abidjan,Mobile Money,VIP,2023-06-15,Actif
157,157,F,18,18-25,Daloa,Mobile Money,Occasionnel,2022-04-08,Actif
158,158,M,41,36-45,Abidjan,Mobile Money,Régulier,2023-01-08,Actif
159,159,M,25,18-25,Yamoussoukro,Mobile Money,Nouveau,2024-04-09,Actif
160,160,M,18,18-25,San-Pédro,Site Web,Nouveau,2024-01-19,Actif
161,161,F,21,18-25,Bouaké,Mobile Money,Nouveau,2024-02-11,Actif
162,162,M,34,26-35,Abidjan,Site Web,Nouveau,2023-12-25,Actif
163,163,F,24,18-25,Abidjan,Site Web,Occasionnel,2022-01-17,Actif
164,164,F,38,36-45,Abidjan,Réseaux sociaux,Occasionnel,2023-10-01,Inactif
165,165,M,18,18-25,Daloa,Mobile Money,Régulier,2023-06-16,Inactif
166,166,F,18,18-25,Abidjan,Site Web,Régulier,2023-08-02,Actif
167,167,M,49,46-55,Abidjan,Réseaux sociaux,Nouveau,2022-08-21,Actif
168,168,M,43,36-45,Abengourou,Partenaire,Régulier,2024-02-12,Inactif
169,169,F,22,18-25,Yamoussoukro,Réseaux sociaux,Nouveau,2023-10-28,Actif
170,170,M,33,26-35,San-Pédro,Mobile Money,Nouveau,2023-03-18,Actif
171,171,F,45,36-45,Abidjan,Partenaire,VIP,2022-03-03,Actif
172,172,F,38,36-45,Divo,Réseaux sociaux,Nouveau,2022-03-17,Actif
173,173,F,35,26-35,Abidjan,Mobile Money,Nouveau,2023-01-29,Actif
174,174,M,46,46-55,Abidjan,Mobile Money,Régulier,2023-08-12,Actif
175,175,F,25,18-25,Korhogo,Partenaire,Occasionnel,2024-12-27,Actif
176,176,F,34,26-35,Korhogo,Mobile Money,Occasionnel,2024-03-03,Actif
177,177,F,33,26-35,Abidjan,Site Web,Régulier,2023-06-16,Actif
178,178,M,30,26-35,Abidjan,Boutique,Régulier,2022-11-24,Actif
179,179,M,29,26-35,Abidjan,Site Web,Occasionnel,2022-07-04,Inactif
180,180,M,34,26-35,Daloa,Mobile Money,Fidèle,2022-06-04,Actif
181,181,M,34,26-35,San-Pédro,Site Web,Nouveau,2022-03-20,Actif
182,182,M,22,18-25,Abidjan,Boutique,Occasionnel,2024-09-25,Actif
183,183,F,42,36-45,Abidjan,Réseaux sociaux,Nouveau,2022-01-18,Actif
184,184,F,23,18-25,Yamoussoukro,Mobile Money,Nouveau,2024-08-03,Inactif
185,185,M,31,26-35,Daloa,Mobile Money,VIP,2023-10-01,Inactif
186,186,M,30,26-35,Abidjan,Mobile Money,Régulier,2023-11-09,Actif
187,187,F,37,36-45,Bouaké,Mobile Money,Nouveau,2024-11-15,Actif
188,188,F,18,18-25,Abengourou,Partenaire,Occasionnel,2024-05-11,Actif
189,189,M,43,36-45,Abidjan,Mobile Money,Nouveau,2022-06-11,Actif
190,190,F,26,26-35,Bouaké,Mobile Money,Régulier,2024-11-26,Actif
191,191,M,47,46-55,Bouaké,Réseaux sociaux,Occasionnel,2022-07-12,Actif
192,192,F,28,26-35,Abidjan,Mobile Money,Fidèle,2023-09-16,Actif
193,193,F,33,26-35,Korhogo,Mobile Money,Nouveau,2023-12-03,Actif
194,194,M,55,46-55,Bouaké,Site Web,Nouveau,2022-09-25,Actif
195,195,F,30,26-35,Abidjan,Boutique,Fidèle,2023-11-22,Actif
196,196,F,47,46-55,Abidjan,Réseaux sociaux,Fidèle,2023-12-01,Actif
197,197,M,34,26-35,Yamoussoukro,Site Web,Nouveau,2024-12-08,Actif
198,198,M,38,36-45,Abidjan,Mobile Money,Occasionnel,2024-09-28,Actif
199,199,F,34,26-35,Abidjan,Boutique,Fidèle,2023-03-14,Actif
200,200,F,43,36-45,Abidjan,Réseaux sociaux,Régulier,2024-01-26,Actif
201,201,M,26,26-35,Bouaké,Boutique,Régulier,2024-06-17,Actif
202,202,M,23,18-25,Abengourou,Site Web,Régulier,2022-01-29,Actif
203,203,F,26,26-35,Yamoussoukro,Boutique,Fidèle,2024-01-20,Actif
204,204,F,35,26-35,San-Pédro,Boutique,Occasionnel,2024-10-01,Actif
205,205,F,31,26-35,Abidjan,Site Web,Nouveau,2022-05-12,Actif
206,206,F,41,36-45,Abidjan,Mobile Money,Occasionnel,2024-04-05,Actif
207,207,F,48,46-55,Gagnoa,Boutique,Régulier,2022-03-08,Actif
208,208,M,23,18-25,Abidjan,Mobile Money,Occasionnel,2023-03-17,Actif
209,209,F,25,18-25,San-Pédro,Site Web,Nouveau,2024-06-16,Actif
210,210,F,18,18-25,Abidjan,Site Web,Régulier,2024-12-17,Inactif
211,211,M,56,56+,Abidjan,Mobile Money,Occasionnel,2024-03-07,Inactif
212,212,M,37,36-45,Bouaké,Mobile Money,VIP,2024-03-01,Inactif
213,213,F,39,36-45,Abidjan,Partenaire,Occasionnel,2022-10-11,Inactif
214,214,M,19,18-25,Abidjan,Mobile Money,Régulier,2024-06-22,Actif
215,215,M,33,26-35,Abidjan,Mobile Money,Occasionnel,2023-12-23,Actif
216,216,M,39,36-45,Abidjan,Mobile Money,Nouveau,2024-10-29,Actif
217,217,F,31,26-35,Abidjan,Boutique,Occasionnel,2023-10-23,Actif
218,218,F,45,36-45,Korhogo,Mobile Money,Nouveau,2022-02-13,Inactif
219,219,M,59,56+,Abidjan,Réseaux sociaux,Régulier,2023-07-14,Inactif
220,220,F,23,18-25,San-Pédro,Site Web,Régulier,2024-04-27,Actif
221,221,F,22,18-25,Bouaké,Mobile Money,Nouveau,2024-05-12,Inactif
222,222,F,24,18-25,Abidjan,Boutique,Occasionnel,2023-02-28,Actif
223,223,M,51,46-55,Abidjan,Mobile Money,VIP,2022-07-07,Actif
224,224,M,45,36-45,Man,Mobile Money,Nouveau,2024-08-09,Actif
225,225,F,32,26-35,Bouaké,Site Web,Fidèle,2024-06-20,Inactif
226,226,M,34,26-35,Man,Mobile Money,Nouveau,2024-08-20,Actif
227,227,F,25,18-25,Abidjan,Réseaux sociaux,Nouveau,2024-01-05,Actif
228,228,M,43,36-45,Yamoussoukro,Boutique,Occasionnel,2024-06-26,Actif
229,229,M,29,26-35,Daloa,Mobile Money,Nouveau,2023-03-18,Inactif
230,230,F,31,26-35,Gagnoa,Partenaire,Fidèle,2024-05-03,Inactif
231,231,F,40,36-45,Abidjan,Boutique,Régulier,2023-06-19,Actif
232,232,F,31,26-35,Divo,Mobile Money,Régulier,2024-05-19,Inactif
233,233,M,31,26-35,Abidjan,Boutique,Régulier,2022-06-10,Actif
234,234,M,34,26-35,San-Pédro,Partenaire,Régulier,2022-11-21,Inactif
235,235,M,42,36-45,Abidjan,Boutique,Régulier,2022-08-23,Actif
236,236,M,52,46-55,Bouaké,Boutique,Régulier,2023-03-22,Actif
237,237,F,40,36-45,Abidjan,Boutique,Fidèle,2024-06-10,Inactif
238,238,M,42,36-45,San-Pédro,Mobile Money,Occasionnel,2022-05-06,Inactif
239,239,F,31,26-35,Abidjan,Mobile Money,Occasionnel,2024-03-10,Actif
240,240,F,26,26-35,Abidjan,Boutique,Occasionnel,2024-06-28,Inactif
241,241,M,41,36-45,Bouaké,Réseaux sociaux,Occasionnel,2024-01-05,Actif
242,242,M,35,26-35,Daloa,Site Web,Nouveau,2023-12-09,Actif
243,243,F,18,18-25,Abidjan,Mobile Money,Occasionnel,2022-06-01,Actif
244,244,M,30,26-35,Yamoussoukro,Boutique,Occasionnel,2023-11-02,Actif
245,245,M,33,26-35,Abidjan,Mobile Money,Nouveau,2022-09-05,Actif
246,246,M,28,26-35,Yamoussoukro,Mobile Money,Fidèle,2022-09-27,Actif
247,247,M,50,46-55,Yamoussoukro,Site Web,Régulier,2024-08-01,Actif
248,248,F,39,36-45,Yamoussoukro,Mobile Money,Nouveau,2023-11-05,Actif
249,249,F,49,46-55,San-Pédro,Réseaux sociaux,Fidèle,2024-12-23,Actif
250,250,F,36,36-45,Abidjan,Boutique,Fidèle,2023-05-13,Actif
251,251,M,34,26-35,Abidjan,Site Web,Fidèle,2023-01-27,Actif
252,252,M,23,18-25,Yamoussoukro,Réseaux sociaux,Nouveau,2024-12-25,Actif
253,253,F,34,26-35,Abidjan,Site Web,Occasionnel,2023-11-13,Actif
254,254,F,34,26-35,Abidjan,Réseaux sociaux,Occasionnel,2024-08-03,Actif
255,255,F,18,18-25,Daloa,Réseaux sociaux,Régulier,2022-02-18,Actif
256,256,M,28,26-35,Abidjan,Boutique,Régulier,2023-07-30,Inactif
257,257,M,30,26-35,Abidjan,Mobile Money,Régulier,2024-06-13,Inactif
258,258,F,38,36-45,Abengourou,Mobile Money,Régulier,2024-06-04,Actif
259,259,F,39,36-45,Abidjan,Réseaux sociaux,Fidèle,2024-02-22,Actif
260,260,M,27,26-35,Abidjan,Mobile Money,Occasionnel,2022-06-30,Actif
261,261,F,39,36-45,Abidjan,Partenaire,Fidèle,2023-08-22,Actif
262,262,M,31,26-35,Abidjan,Mobile Money,Régulier,2022-04-22,Actif
263,263,F,18,18-25,Yamoussoukro,Site Web,Nouveau,2024-05-28,Actif
264,264,F,28,26-35,Daloa,Mobile Money,Régulier,2023-11-22,Actif
265,265,M,45,36-45,Bouaké,Partenaire,Nouveau,2022-08-01,Actif
266,266,F,18,18-25,Abidjan,Mobile Money,Nouveau,2024-03-06,Inactif
267,267,F,35,26-35,Abidjan,Boutique,VIP,2024-02-27,Actif
268,268,F,51,46-55,Abidjan,Réseaux sociaux,Occasionnel,2022-02-28,Actif
269,269,F,25,18-25,Yamoussoukro,Mobile Money,Occasionnel,2022-04-08,Inactif
270,270,F,34,26-35,Bouaké,Mobile Money,VIP,2022-08-09,Actif
271,271,F,19,18-25,Abidjan,Réseaux sociaux,Occasionnel,2022-03-18,Actif
272,272,F,51,46-55,San-Pédro,Réseaux sociaux,Nouveau,2023-08-12,Actif
273,273,F,33,26-35,Daloa,Mobile Money,Nouveau,2024-08-21,Actif
274,274,M,34,26-35,Abidjan,Boutique,Occasionnel,2022-03-10,Actif
275,275,M,48,46-55,Bouaké,Mobile Money,Nouveau,2023-11-04,Actif
276,276,F,41,36-45,Bouaké,Mobile Money,Nouveau,2023-04-10,Actif
277,277,F,24,18-25,Abidjan,Site Web,Régulier,2024-07-04,Actif
278,278,F,26,26-35,Abidjan,Mobile Money,Nouveau,2023-06-12,Actif
279,279,M,39,36-45,Yamoussoukro,Boutique,Occasionnel,2024-01-03,Actif
280,280,M,27,26-35,Man,Mobile Money,Nouveau,2024-10-06,Actif
281,281,F,18,18-25,Bouaké,Réseaux sociaux,Occasionnel,2022-05-30,Actif
282,282,F,33,26-35,Bouaké,Boutique,Régulier,2022-12-12,Actif
283,283,F,18,18-25,Bouaké,Mobile Money,Occasionnel,2022-10-23,Actif
284,284,F,51,46-55,Abidjan,Partenaire,Nouveau,2022-07-04,Actif
285,285,M,35,26-35,Abidjan,Réseaux sociaux,Nouveau,2023-12-11,Actif
286,286,F,24,18-25,Abidjan,Mobile Money,Nouveau,2022-01-09,Actif
287,287,F,26,26-35,Korhogo,Partenaire,Nouveau,2023-02-27,Actif
288,288,F,18,18-25,San-Pédro,Mobile Money,Occasionnel,2022-05-14,Actif
289,289,M,21,18-25,Man,Mobile Money,Nouveau,2023-11-05,Actif
290,290,F,45,36-45,Abidjan,Boutique,Nouveau,2024-04-02,Actif
291,291,M,58,56+,Abidjan,Mobile Money,Nouveau,2023-05-27,Actif
292,292,F,41,36-45,Bouaké,Site Web,Régulier,2023-05-03,Inactif
293,293,M,32,26-35,Abidjan,Boutique,Occasionnel,2023-05-08,Actif
294,294,F,29,26-35,Abidjan,Réseaux sociaux,Occasionnel,2022-08-06,Actif
295,295,M,23,18-25,Daloa,Mobile Money,Occasionnel,2023-02-16,Inactif
296,296,M,56,56+,Yamoussoukro,Mobile Money,Occasionnel,2024-10-18,Actif
297,297,M,31,26-35,Bouaké,Boutique,Nouveau,2022-02-15,Actif
298,298,M,57,56+,Abidjan,Mobile Money,Occasionnel,2024-05-12,Actif
299,299,M,49,46-55,Abidjan,Partenaire,Occasionnel,2022-06-30,Actif
300,300,M,18,18-25,Abidjan,Site Web,Occasionnel,2022-05-06,Actif
301,301,M,26,26-35,Abidjan,Site Web,Nouveau,2022-11-09,Inactif
302,302,F,26,26-35,Abidjan,Site Web,Fidèle,2022-10-22,Actif
303,303,M,33,26-35,Abidjan,Mobile Money,Régulier,2022-12-13,Actif
304,304,F,33,26-35,Gagnoa,Mobile Money,Nouveau,2024-07-19,Actif
305,305,M,66,56+,Abidjan,Boutique,Fidèle,2024-09-17,Inactif
306,306,F,22,18-25,Abidjan,Réseaux sociaux,Nouveau,2024-01-29,Actif
307,307,F,36,36-45,Abidjan,Mobile Money,Nouveau,2022-06-10,Actif
308,308,M,40,36-45,Yamoussoukro,Mobile Money,Nouveau,2024-11-01,Actif
309,309,F,33,26-35,Abidjan,Site Web,Fidèle,2024-07-16,Actif
310,310,F,35,26-35,Abidjan,Mobile Money,Nouveau,2022-03-25,Actif
311,311,F,22,18-25,Abidjan,Boutique,Régulier,2023-03-01,Inactif
312,312,F,35,26-35,Abidjan,Mobile Money,Régulier,2024-04-29,Inactif
313,313,F,39,36-45,Bouaké,Boutique,Occasionnel,2022-04-08,Actif
314,314,F,37,36-45,Abidjan,Boutique,Occasionnel,2022-03-25,Actif
315,315,F,40,36-45,Abidjan,Réseaux sociaux,Nouveau,2023-10-26,Actif
316,316,F,49,46-55,Daloa,Site Web,Régulier,2023-01-04,Actif
317,317,F,44,36-45,Abidjan,Mobile Money,Occasionnel,2023-04-29,Actif
318,318,M,34,26-35,Bouaké,Site Web,Occasionnel,2024-04-01,Actif
319,319,F,21,18-25,Abidjan,Site Web,Nouveau,2023-08-20,Actif
320,320,M,27,26-35,Bouaké,Site Web,Régulier,2024-02-18,Actif
321,321,M,31,26-35,Abidjan,Partenaire,Régulier,2022-05-19,Actif
322,322,F,36,36-45,Abidjan,Réseaux sociaux,Occasionnel,2022-01-03,Actif
323,323,F,28,26-35,Abidjan,Mobile Money,Occasionnel,2022-10-03,Actif
324,324,M,23,18-25,Abengourou,Boutique,Nouveau,2022-08-10,Actif
325,325,M,20,18-25,Abidjan,Boutique,Nouveau,2022-12-21,Actif
326,326,M,18,18-25,Man,Boutique,Nouveau,2024-05-02,Actif
327,327,M,31,26-35,Man,Partenaire,Régulier,2022-06-16,Actif
328,328,M,18,18-25,Abidjan,Site Web,Nouveau,2022-05-19,Actif
329,329,M,22,18-25,Abidjan,Mobile Money,Nouveau,2022-08-08,Inactif
330,330,F,29,26-35,Abidjan,Partenaire,Nouveau,2022-12-24,Actif
331,331,M,19,18-25,Abengourou,Site Web,Nouveau,2022-08-05,Actif
332,332,F,38,36-45,Bouaké,Mobile Money,Occasionnel,2022-07-21,Actif
