campagne_key,campagne_id_nk,nom_campagne,type_campagne,cible,groupe_test,date_debut,date_fin,duree_jours,budget_fcfa,nb_envois,cout_par_envoi_fcfa
179,179,Camp_179,WhatsApp,Inactifs,A,2024-01-23,2024-02-10,18,500000,11162,44.8
180,180,Camp_180,SMS,Inactifs,A,2023-11-25,2023-12-02,7,500000,16944,29.5
181,181,Camp_181,Email,Fidèles,A,2024-09-20,2024-09-30,10,250000,1197,208.9
182,182,Camp_182,Email,Nouveaux,A,2022-07-01,2022-07-10,9,50000,5705,8.8
183,183,Camp_183,Email,Tous,A,2024-11-15,2024-11-21,6,50000,5321,9.4
184,184,Camp_184,WhatsApp,VIP,B,2022-04-27,2022-05-03,6,250000,15335,16.3
185,185,Camp_185,Push App,VIP,B,2022-03-21,2022-03-28,7,50000,19371,2.6
186,186,Camp_186,Email,Fidèles,B,2023-01-19,2023-01-22,3,250000,3851,64.9
187,187,Camp_187,SMS,Tous,B,2023-03-07,2023-03-24,17,250000,18264,13.7
188,188,Camp_188,WhatsApp,VIP,B,2022-12-08,2022-12-17,9,50000,4698,10.6
189,189,Camp_189,Push App,Tous,A,2024-03-31,2024-04-04,4,100000,19324,5.2
190,190,Camp_190,Push App,Tous,A,2023-10-02,2023-10-05,3,100000,16347,6.1
191,191,Camp_191,SMS,Inactifs,A,2023-09-07,2023-09-20,13,100000,16332,6.1
192,192,Camp_192,Email,VIP,A,2023-07-13,2023-07-18,5,50000,3717,13.5
193,193,Camp_193,Email,Inactifs,A,2024-07-10,2024-07-27,17,50000,8660,5.8
194,194,Camp_194,WhatsApp,Tous,B,2024-05-04,2024-05-19,15,250000,19020,13.1
195,195,Camp_195,SMS,VIP,A,2024-01-07,2024-01-27,20,250000,8374,29.9
196,196,Camp_196,Email,Nouveaux,A,2022-12-03,2022-12-17,14,100000,15297,6.5
197,197,Camp_197,Réseaux sociaux,Tous,B,2022-02-26,2022-03-15,17,50000,19303,2.6
198,198,Camp_198,WhatsApp,Tous,B,2022-03-15,2022-03-24,9,500000,9446,52.9
199,199,Camp_199,Push App,Tous,A,2024-06-25,2024-07-05,10,50000,7243,6.9
200,200,Camp_200,SMS,Tous,B,2024-02-06,2024-02-10,4,50000,15013,3.3
